#CODE	ENGLISH	ENGLISH
MOVEMENT_SPEED	Movement Speed	Velocidade de movemento
EXPERIMENTALITY	Experimentality	Imprevisibilidade
CU_LIGHT_INFANTRY	Light Foot Troops	Infantería lixeira
CU_HEAVY_INFANTRY	Heavy Foot Troops	Infantería pesada
CU_CAVALRY	Mounted Troops	Cabalería
MORALE_DEFENCE	Morale Defence	Mantemento da moral
#MORALE_OFFENCE	Morale Offence	Morale Offence
DAMAGE	Damage	Dano
PURSUIT	Pursuit	Perseguimento
RETREAT	Retreat	Retirada
MARTIAL_INFLUENCE	Martial Influence	Influencia marcial
#DAMAGE_COMBAT_MODIFIER	Damage Combat Modifier of §Y$WHO$§!: $PERC$	Damage Combat Modifier of §Y$WHO$§!: $PERC$
#PURSUIT_COMBAT_MODIFIER	Pursuit Combat Modifier of §Y$WHO$§!: $PERC$	Pursuit Combat Modifier of §Y$WHO$§!: $PERC$
#RETREAT_COMBAT_MODIFIER	Retreat Combat Modifier of §Y$WHO$§!: $PERC$	Retreat Combat Modifier of §Y$WHO$§!: $PERC$
#DEFENCE_COMBAT_MODIFIER	Defence Combat Modifier of §Y$WHO$§!: $PERC$	Defence Combat Modifier of §Y$WHO$§!: $PERC$
#EXPERIMENT_COMBAT_MODIFIER	Experimentality Combat Modifier of §Y$WHO$§!: $PERC$	Experimentality Combat Modifier of §Y$WHO$§!: $PERC$
#LIGHT_INFANTRY_COMBAT_MODIFIER	Combat Modifier of §Y$WHO$§! boost to Light Foot Troops: $PERC$	Combat Modifier of §Y$WHO$§! boost to Light Foot Troops: $PERC$
#HEAVY_INFANTRY_COMBAT_MODIFIER	Combat Modifier of §Y$WHO$§! boost to Heavy Foot Troops: $PERC$	Combat Modifier of §Y$WHO$§! boost to Heavy Foot Troops: $PERC$
#CAVALRY_COMBAT_MODIFIER	Combat Modifier of §Y$WHO$§! boost to Mounted Troops: $PERC$	Combat Modifier of §Y$WHO$§! boost to Mounted Troops: $PERC$
#DEF_BONUS_AGAINST_ENEMY	Defence bonus against enemy flank: $PERC$	Defence bonus against enemy flank: $PERC$
#DEF_BONUS_MORALE	Morale Defence bonus: $PERC$ morale damage	Morale Defence bonus: $PERC$ morale damage
#MORALE_DEF_COMBAT_MODIFIER	Morale Defence Combat Modifier of §Y$WHO$§!: $PERC$	Morale Defence Combat Modifier of §Y$WHO$§!: $PERC$
#ATT_BONUS_MORALE	Morale Offence bonus: $PERC$ morale damage	Morale Offence bonus: $PERC$ morale damage
#MORALE_ATT_COMBAT_MODIFIER	Morale Offence Combat Modifier of §Y$WHO$§!: $PERC$ morale damage	Morale Offence Combat Modifier of §Y$WHO$§!: $PERC$ morale damage
FLANKING	Flanking	Flanqueo
CENTER	Leading the Center	Control do centro
#FLANKING_COMBAT_MODIFIER	Flanking Combat Modifier of §Y$WHO$§!: $PERC$	Flanking Combat Modifier of §Y$WHO$§!: $PERC$
#CENTER_COMBAT_MODIFIER	Leading the Center Combat Modifier of §Y$WHO$§!: $PERC$	Leading the Center Combat Modifier of §Y$WHO$§!: $PERC$
DEFENCE	Defence	Defensa
CANNOT_PLAY_MUSLIM_WITHOUT_DLC	You cannot play Muslim without The Sword of Islam DLC	Non podes xogar cun personaxe musulmán sen a DLC Espada do Islam
NOT_ALLOWED_MUSLIM	Not allowed to play §YMuslim§! without The Sword of Islam DLC!	Non podes xogar cun §Ypersonaxe musulmán§! sen a DLC da Espada do Islam!
NOT_ALLOWED_MUSLIM_MP	§Y$PLAYER$§! not allowed to play §YMuslim§! without The Sword of Islam DLC	§Y$PLAYER$§! non pode xogar cun §Ypersonaxe musulmán§! sen a DLC da Espada do Islam
RD_NOT_PLAYABLE_WITHOUT_MUSLIM_DLC	Muslims are not playable without The Sword of Islam DLC	Os musulmáns non son xogables sen a DLC da Espada do Islam
MUST_SELECT_PLAYER	Must select a Character to play!	Debes escoller un personaxe para xogar!
