#CODE	ENGLISH
## PRONOUNS	## PRONOUNS
String_GetIlElle_male	_
String_GetIlElle_female	_
String_GetIlElleCap_male	_
String_GetIlElleCap_female	_
String_GetIlElleOpp_male	_
String_GetIlElleOpp_female	_
String_GetIlElleCapOpp_male	_
String_GetIlElleCapOpp_female	_
String_GetLeLa_male	_
String_GetLeLa_female	_
String_GetLeLaCap_male	_
String_GetLeLaCap_female	_
String_GetLeLaOpp_male	_
String_GetLeLaOpp_female	_
String_GetLeLaCapOpp_male	_
String_GetLeLaCapOpp_female	_
String_GetLuiElle_male	_
String_GetLuiElle_female	_
String_GetLuiElleOpp_male	_
String_GetLuiElleOpp_female	_
String_GetCeluiCelle_male	_
String_GetCeluiCelle_female	_
String_GetCeluiCelleCap_male	_
String_GetCeluiCelleCap_female	_
String_GetOnA_male	_
String_GetOnA_female	_
String_GetOnAOpp_male	_
String_GetOnAOpp_female	_
## ENDINGS	## ENDINGS
String_GetErEre_male	_
String_GetErEre_female	_
String_GetEEtte_male	_
String_GetEEtte_female	_
String_GetEtEtte_male	_
String_GetEtEtte_female	_
String_GetXSe_male	_
String_GetXSe_female	_
String_GetLLle_male	_
String_GetLLle_female	_
String_GetEurRice_male	_
String_GetEurRice_female	_
String_GetXCe_male	_
String_GetXCe_female	_
String_GetNNne_male	_
String_GetNNne_female	_
String_GetRSe_male	_
String_GetRSe_female	_
String_GetFVe_male	_
String_GetFVe_female	_
String_GetEtEte_male	_
String_GetEtEte_female	_
String_GetEurEresse_male	_
String_GetEurEresse_female	_
String_GetUOlle_male	_
String_GetUOlle_female	_
String_GetEauElle_male	_
String_GetEauElle_female	_
## ELISIONS	## ELISIONS
String_GetLLa_male	_
String_GetLLa_female	_
String_GetLLaOpp_male	_
String_GetLLaOpp_female	_
String_GetLLaCap_male	_
String_GetLLaCap_female	_
String_GetDDe_male	_
String_GetDDe_female	_
String_GetSilSielle_male	_
String_GetSilSielle_female	_
String_GetSilSielleCap_male	_
String_GetSilSielleCap_female	_
String_GetEluiElle_male	_
String_GetEluiElle_female	_
## PREPOSITIONS	## PREPOSITIONS
String_GetAuAla_male	_
String_GetAuAla_female	_
String_GetDuDela_male	_
String_GetDuDela_female	_
## ENGLISH COMMANDS WITH ARTICLE	## ENGLISH COMMANDS WITH ARTICLE
# GetHoldingDuDela & GetCapitalHoldingDuDela	# GetHoldingDuDela & GetCapitalHoldingDuDela
