#CODE	ENGLISH	ENGLISH
mesoamerican	Mesoamerican	Mesoamerican
nahuatl	Nahua	Nahua
aztec	Aztec	Aztec
e_mexikha	Aztec Empire	Aztec Empire
e_mexikha_adj	Aztec	Aztec
emperor_nahuatl	Huetlatoani	Huetlatoani
emperor_female_nahuatl	Huetlatoani	Huetlatoani
king_nahuatl	Tlatoani	Tlatoani
king_female_nahuatl	Tlatoani	Tlatoani
duke_nahuatl	Huecalpixqui	Huecalpixqui
duke_female_nahuatl	Huecalpixqui	Huecalpixqui
count_nahuatl	Calpixqui	Calpixqui
count_female_nahuatl	Calpixqui	Calpixqui
baron_nahuatl	Teuctli	Teuctli
baron_female_nahuatl	Teuctli	Teuctli
GOD_HUITZILOPOCHTLI	Huitzilopochtli	Huitzilopochtli
GOD_XIPE_TOTEC	Xipe-Totec	Xipe-Totec
GOD_TEZCATLIPOCA	Tezcatlipoca	Tezcatlipoca
GOD_QUETZALCOATL	Quetzalcoatl	Quetzalcoatl
GOD_MICTLANTECUHTLI	Mictlantecuhtli	Mictlantecuhtli
GOD_TLALOC	Tlaloc	Tlaloc
job_chancellor_aztec	Cihuacoatl	Cihuacoatl
job_marshal_aztec	Tlacateccatl	Tlacateccatl
job_treasurer_aztec	Petlacalcatl	Petlacalcatl
job_spymaster_aztec	Tillancalqui	Tillancalqui
job_spiritual_aztec	Sahagun	Sahagun
ISNT_TRIBAL_TYPE_TITLE	Is NOT Tribal	Is NOT Tribal
IS_TRIBAL_TYPE_TITLE	Is Tribal	Is Tribal
HAS_HORDE_CULTURE	Is of a Horde Culture	Is of a Horde Culture
HAS_NOT_HORDE_CULTURE	Is NOT of a Horde Culture	Is NOT of a Horde Culture
#DEATH_SACRIFICED	was offered up in sacrifice to Pagan gods by $KILLER$	was offered up in sacrifice to Pagan gods by $KILLER$
DEATH_SACRIFICED_NO_KILLER	was offered up in sacrifice to the Gods	was offered up in sacrifice to Pagan gods
