#CODE	ENGLISH	GALEGO
AIREASON_TOO_OLD	§Y[GetTitledFirstName]§! is past childbearing age	§Y[GetTitledFirstName]§! superou a idade fértil
AIREASON_OPINION	Opinion of §Y[GetTitledFirstName]§!	Opinión de §Y[GetTitledFirstName]§!
AIREASON_SKILLS	Skills of §Y[GetTitledFirstName]§!	Habilidades de §Y[GetTitledFirstName]§!
AIREASON_REALPOLITIK	Political Concerns	Cuestións políticas
AIREASON_REALPOLITIK_VS	Political Concerns vs §Y[GetTitledFirstName]§!	Cuestións políticas sobre de §Y[GetTitledFirstName]§!
AIREASON_WRONG_RELIGION	False Religion	Relixión falsa
AIREASON_WRONG_CULTURE	Foreign Culture	Cultura estranxeira
AIREASON_TOO_WEAK	Weaker than I am	Máis débil ca min
AIREASON_WEAKNESS	Lack of Power	Carencia de poder
AIREASON_STRENGTH	Power	Poder
AIREASON_IS_RULER	Is a Ruler	É gobernante
AIREASON_NOT_DE_JURE_LIEGE	Not my de jure Liege	Non é o meu señor de iure
AIREASON_CANNOT_AFFORD	Cannot Afford	Fondos insuficientes
AIREASON_NO_INTEREST_IN_CHAR	No interest in §Y[GetTitledFirstName]§!	Sen interese en §Y[GetTitledFirstName]§!
AIREASON_SAME_DYNASTY_AS_TARGET	Same Dynasty as §Y[GetTitledFirstName]§!	Mesma dinastía que §Y[GetTitledFirstName]§!
AIREASON_TOO_CLOSE_FOR_SUCC_MARR	§Y[GetTitledFirstName]§! is too high in the line of succession	§Y[GetTitledFirstName]§! está nunha posición alta de máis na liña de sucesión
AIREASON_SUCC_LOWLY_RANK	§Y[GetTitledFirstName]§! is of too lowly rank for a regular marriage	Rango de §Y[GetTitledFirstName]§! baixo de máis para un matrimonio tradicional
AIREASON_NOT_A_SUCCESSION_MARRIAGE	§Y[GetTitledFirstName]§! would prefer a Matrilineal Marriage	§Y[GetTitledFirstName]§! preferiría un matrimonio matrilineal
AIREASON_POWER_TO_PRESS_CLAIMS	§Y[GetTitledFirstName]§! has the power to press my claims	§Y[GetTitledFirstName]§!  ten poder como para presionar as miñas reclamacións
AIREASON_UNABLE_PRESS_CLAIMS	§Y[GetTitledFirstName]§! is unable to press my claims	§Y[GetTitledFirstName]§! é incapaz de presionar as miñas reclamacións
AIREASON_REBELLIOUS	Rebellious	Rebelde
AIREASON_AGE_FACTOR	Age of §Y[GetTitledFirstName]§!	Idade de §Y[GetTitledFirstName]§!
AIREASON_IS_MY_LIEGE	§Y[GetTitledFirstName]§! is my Liege	§Y[GetTitledFirstName]§!é o meu señor
AIREASON_PRESTIGE_EFFECTS	Prestige Effects	Efectos do prestixio
AIREASON_WANTS_FREEDOM	Wants Freedom	Quere a liberdade
