#CODE	ENGLISH	ENGLISH
REL_CAPTOR	Captor	Captor
PALACE_NAME	$DYNASTY$ Palace	$DYNASTY$ Palace
family_palace	Palace	Palace
family_palace_baron	Patrician	Patrician
family_palace_baron_female	Lady	Lady
family_palace_barony_of	Palace of	Palace of
family_palace_baron_foa	Sir	Sir
family_palace_baron_deed	Chair of	Chair of
fp_mansion_1	Mansion	Mansion
fp_mansion_2	Great Mansion	Great Mansion
fp_mansion_3	Palace	Palace
fp_mansion_4	Grand Palace	Grand Palace
fp_barracks_1	Guard Barracks	Guard Barracks
fp_barracks_2	Swordsmith	Swordsmith
fp_barracks_3	Armory	Armory
fp_stable_1	Small Stable	Small Stable
fp_stable_2	Riding Grounds	Riding Grounds
fp_stable_3	Horse Breeder	Horse Breeder
fp_bowyer_1	Bowyer	Bowyer
fp_bowyer_2	Target Range	Target Range
fp_bowyer_3	Crossbow Workshop	Crossbow Workshop
fp_shipyard_1	Map Room	Map Room
fp_shipyard_2	Private Shipyard	Private Shipyard
fp_shipyard_3	Naval Arsenal	Naval Arsenal
fp_warehouse_1	Military Warehouse	Military Warehouse
fp_warehouse_2	Palace Archive	Palace Archive
fp_warehouse_3	Administrative Office	Administrative Office
fp_garden_1	Palace Garden	Palace Garden
fp_garden_2	Scenic Pond	Scenic Pond
fp_garden_3	Hedge Maze	Hedge Maze
fp_cellar_1	Wine Cellar	Wine Cellar
fp_cellar_2	Catacombs	Catacombs
fp_cellar_3	Dungeon Complex	Dungeon Complex
fp_shrine_1	Secluded Shrine	Secluded Shrine
fp_shrine_2	Private Art Collection	Private Art Collection
fp_shrine_3	Grand Library	Grand Library
fp_vault_1	Fortified Vault	Fortified Vault
fp_vault_2	Secret Passages	Secret Passages
fp_vault_3	Hidden Chamber	Hidden Chamber
fp_mansion_1_desc	This mansion has belonged to this family for generations, and although it may not look very impressive, it has all the comforts of home.	This mansion has belonged to this family for generations, and although it may not look very impressive, it has all the comforts of home.
fp_mansion_2_desc	This mansion is impressive enough to command the respect of the surrounding countryside. It is clearly the home of someone important.	This mansion is impressive enough to command the respect of the surrounding countryside. It is clearly the home of someone important.
fp_mansion_3_desc	A palace fit for a king, its shining towers can be seen from a league away on a clear day. Though it may only consist of brick and mortar, it is the beating heart of this entire dynasty.	A palace fit for a king, its shining towers can be seen from a league away on a clear day. Though it may only consist of brick and mortar, it is the beating heart of this entire dynasty.
fp_mansion_4_desc	Truly, the splendor of this palace would be the envy of a Roman emperor. Its great halls shine of gold and marble, and hundreds of servants scurry through them daily in service of their masters. It is nothing less than a monument to the greatness of this dynasty.	Truly, the splendor of this palace would be the envy of a Roman emperor. Its great halls shine of gold and marble, and hundreds of servants scurry through them daily in service of their masters. It is nothing less than a monument to the greatness of this dynasty.
fp_barracks_1_desc	The dynasty's household guards are lodged within these simple barracks. They are crowded and unsanitary, but provide decent protection against the elements.	The dynasty's household guards are lodged within these simple barracks. They are crowded and unsanitary, but provide decent protection against the elements.
fp_barracks_2_desc	An industrious swordsmith has opened up a forge in the palace courtyard. This will make it easier to equip new recruits with weapons.	An industrious swordsmith has opened up a forge in the palace courtyard. This will make it easier to equip new recruits with weapons.
fp_barracks_3_desc	A large armory has been constructed in a corner of the palace courtyard. It holds enough weapons and armor to equip a small army at a moment's notice.	A large armory has been constructed in a corner of the palace courtyard. It holds enough weapons and armor to equip a small army at a moment's notice.
fp_stable_1_desc	This small stable just outside the palace walls reeks of hay and manure. It holds the horses of the guard, as well as those of any visitors.	This small stable just outside the palace walls reeks of hay and manure. It holds the horses of the guard, as well as those of any visitors.
fp_stable_2_desc	Several large fields just outside the palace have been graciously "donated" by local farmers and set aside as riding grounds. Here the fighting men can practise the art of war on horseback.	Several large fields just outside the palace have been graciously "donated" by local farmers and set aside as riding grounds. Here the fighting men can practise the art of war on horseback.
fp_stable_3_desc	A horse breeder has set up shop in the vicinity of the palace. The large pens can hold hundreds of animals, and ensure a steady supply of mounts for forces raised locally.	A horse breeder has set up shop in the vicinity of the palace. The large pens can hold hundreds of animals, and ensure a steady supply of mounts for forces raised locally.
fp_bowyer_1_desc	A skilled bowyer has set up his small workshop inside the palace courtyard. Here he can make new bows or repair broken ones as needed.	A skilled bowyer has set up his small workshop inside the palace courtyard. Here he can make new bows or repair broken ones as needed.
fp_bowyer_2_desc	This target range lets the men practise their archery. There are several targets positioned at different distances, but as yet, no one has managed to split another's arrow.	This target range lets the men practise their archery. There are several targets positioned at different distances, but as yet, no one has managed to split another's arrow.
fp_bowyer_3_desc	The crossbow is a marvelous invention. Though it can't be fired as quickly as a longbow, it requires little training to use effectively. This workshop ensures a steady supply of these deadly weapons.	The crossbow is a marvelous invention. Though it can't be fired as quickly as a longbow, it requires little training to use effectively. This workshop ensures a steady supply of these deadly weapons.
fp_shipyard_1_desc	This room inside the palace is a cartographer's dream, and contains priceless maps of all sorts. Some are claimed to date back to the ancient Greeks, and others, whose accuracy cannot be gauged with any certainty, depict strange lands far to the east.	This room inside the palace is a cartographer's dream, and contains priceless maps of all sorts. Some are claimed to date back to the ancient Greeks, and others, whose accuracy cannot be gauged with any certainty, depict strange lands far to the east.
fp_shipyard_2_desc	This large shipyard is located along the coast, but it has been reserved for exclusive use by this dynasty. Skilled shipwrights stand ready to build trade galleys.	This large shipyard is located along the coast, but it has been reserved for exclusive use by this dynasty. Skilled shipwrights stand ready to build trade galleys.
fp_shipyard_3_desc	This naval arsenal is located in the capital, but it is completely owned by this dynasty who has reserved all use of it for themselves. It is a huge complex that has everything needed to assemble and man an entire fleet.	This naval arsenal is located in the capital, but it is completely owned by this dynasty who has reserved all use of it for themselves. It is a huge complex that has everything needed to assemble and man an entire fleet.
fp_warehouse_1_desc	A large warehouse containing all the supplies necessary to field a military force, whether it be an army or a fleet.	A large warehouse containing all the supplies necessary to field a military force, whether it be an army or a fleet.
fp_warehouse_2_desc	It is easy to get lost in this colossal archive housed entirely within the palace. It holds documents and records of all dynastic assets, from ships and buildings down to individual soldiers and clerks.	It is easy to get lost in this colossal archive housed entirely within the palace. It holds documents and records of all dynastic assets, from ships and buildings down to individual soldiers and clerks.
fp_warehouse_3_desc	This office deep within the palace acts as the nerve center of the entire dynastic empire. Here clerks and officials oversee the day-to-day affairs of trade negotiations and fleet deployments.	This office deep within the palace acts as the nerve center of the entire dynastic empire. Here clerks and officials oversee the day-to-day affairs of trade negotiations and fleet deployments.
fp_garden_1_desc	A large and impressive garden filled with the manifold wonders of nature. This tranquil environment is ideal for moments of quiet reflection.	A large and impressive garden filled with the manifold wonders of nature. This tranquil environment is ideal for moments of quiet reflection.
fp_garden_2_desc	This scenic pond, often frequented by swans, is the centerpiece of the palace garden. A small fountain in its middle sprays water into the air while carps can be glimpsed just beneath the surface.	This scenic pond, often frequented by swans, is the centerpiece of the palace garden. A small fountain in its middle sprays water into the air while carps can be glimpsed just beneath the surface.
fp_garden_3_desc	No self-respecting garden is complete without one. This intricate hedge maze delights visitors, and many dignitaries have spent hours navigating its twisting paths.	No self-respecting garden is complete without one. This intricate hedge maze delights visitors, and many dignitaries have spent hours navigating its twisting paths.
fp_cellar_1_desc	A well-stocked wine cellar is an absolute must for any aristocrat of rank, and this one certainly doesn't disappoint. Some of the wines stored here date back decades.	A well-stocked wine cellar is an absolute must for any aristocrat of rank, and this one certainly doesn't disappoint. Some of the wines stored here date back decades.
fp_cellar_2_desc	These catacombs located far beneath the palace contain the dynastic tombs. Here countless generations dating back centuries are joined in eternal slumber. May they rest in peace.	These catacombs located far beneath the palace contain the dynastic tombs. Here countless generations dating back centuries are joined in eternal slumber. May they rest in peace.
fp_cellar_3_desc	This vast complex of dungeons is hidden away deep enough below the palace to block the cries of its unfortunate inhabitants. Every imaginable instrument of torture can be found within these cold and dark chambers.	This vast complex of dungeons is hidden away deep enough below the palace to block the cries of its unfortunate inhabitants. Every imaginable instrument of torture can be found within these cold and dark chambers.
fp_shrine_1_desc	A secluded shrine hidden away in a quiet wing of the palace. Here men and women can spend their time in prayer and introspective soul-searching.	A secluded shrine hidden away in a quiet wing of the palace. Here men and women can spend their time in prayer and introspective soul-searching.
fp_shrine_2_desc	This gallery occupies a large chamber in one of the palace wings, and it contains all works of art accumulated by members of this dynasty over the years - from contemporary tapestries to ancient marble sculptures from Greece and Rome.	This gallery occupies a large chamber in one of the palace wings, and it contains all works of art accumulated by members of this dynasty over the years - from contemporary tapestries to ancient marble sculptures from Greece and Rome.
fp_shrine_3_desc	A huge library containing all sorts of dusty old tomes collected and purchased from all over the known world by members of this dynasty. They are in many different languages and no person alive has read them all, but at least here they will be protected for posterity.	A huge library containing all sorts of dusty old tomes collected and purchased from all over the known world by members of this dynasty. They are in many different languages and no person alive has read them all, but at least here they will be protected for posterity.
fp_vault_1_desc	This fortified vault deep within the palace is where the dynasty keeps all of their treasures collected over the years. Only the head of the dynasty has access to the vault keys, but the stories of piles upon piles of golden coins, deep enough for a man to dive around in like a porpoise, or burrow through like a gopher, must surely be false.	This fortified vault deep within the palace is where the dynasty keeps all of their treasures collected over the years. Only the head of the dynasty has access to the vault keys, but the stories of piles upon piles of golden coins, deep enough for a man to dive around in like a porpoise, or burrow through like a gopher, must surely be false.
fp_vault_2_desc	These secret passages run through the entire palace, and enable those in the know to quickly move from one end to the other without being seen. By pulling on the right candelabrum, an unassuming bookshelf or a lit fireplace might slide open. Perfect for escaping would-be assassins or awkward social gatherings.	These secret passages run through the entire palace, and enable those in the know to quickly move from one end to the other without being seen. By pulling on the right candelabrum, an unassuming bookshelf or a lit fireplace might slide open. Perfect for escaping would-be assassins or awkward social gatherings.
