#CODE	ENGLISH	ENGLISH
NOT_IN_DYNASTY	Is NOT a member of House 	Is NOT a member of House 
IN_DYNASTY	Is a member of House 	Is a member of House 
#REALM_MANPOWER_LESS	Maximum realm levies less than §Y$VAL$§W	Maximum realm levies less than §Y$VAL$§W
#REALM_MANPOWER_LEAST	Maximum realm levies at least §Y$VAL$§W	Maximum realm levies at least §Y$VAL$§W
REALM_SIZE_LESS	Realm size less than §Y$VAL$§W	Realm size less than §Y$VAL$§W
REALM_SIZE_LEAST	Realm size at least §Y$VAL$§W	Realm size at least §Y$VAL$§W
tut_6a_6	Søroyar to the west of Ross seems like a good target. It would be a nice addition to our border, plus his maximum numbers of levy is not very impressive. Click on the province.	Søroyar to the west of Ross seems like a good target. It would be a nice addition to our border, plus his maximum numbers of levy is not very impressive. Click on the province.
tut_6a_10	Now let's send our chancellor out on a secret mission to fabricate claims. Click the fabricate claims button, then click on Søroyar to place the chancellor there.	Now let's send our chancellor out on a secret mission to fabricate claims. Click the fabricate claims button, then click on Søroyar to place the chancellor there.
tut_8b_8	What instigates a Crusade is that the Pope appoints an area that needs to be conquered in the name of the Catholic church. For him to be able to do that, it must currently be held by Muslims or Pagans. When he does this, a special Crusade war will begin which you are able to join by going to the Pope's diplomatic interactions and choosing 'Offer to Join War'.	What instigates a Crusade is that the Pope appoints an area that needs to be conquered in the name of the Catholic church. For him to be able to do that, it must currently be held by Muslims or Pagans. When he does this, a special Crusade war will begin which you are able to join by going to the Pope's diplomatic interactions and choosing 'Offer to Join War'.
tut_8b_9	If a Crusade is successful, the ruler who had the biggest impact (highest participation score) on the Catholic side of the war will be considered to have won the Crusade.	If a Crusade is successful, the ruler who had the biggest impact (highest participation score) on the Catholic side of the war will be considered to have won the Crusade.
tut_8b_10	Should you choose to join the Crusade and manage to be the one that wins the Crusade, you will be given all the land held by the enemy in the Crusade area. You will also get piety and prestige, as well as a Crusader trait.	Should you choose to join the Crusade and manage to be the one that wins the Crusade, you will be given all the land held by the enemy in the Crusade area. You will also get piety and prestige, as well as a Crusader trait.
tut_8b_11	Should you join the Crusade but one of the other Catholics wins it, you will not get any land but you will still get piety and prestige, as well as the Crusader trait. Click next to end this part.	Should you join the Crusade but one of the other Catholics wins it, you will not get any land but you will still get piety and prestige, as well as the Crusader trait. Click next to end this part.
tut_8b_4	Religious vassals of Catholic rulers will only give you troops and money if they have a higher opinion of you than they do of the Pope. The easiest way to assure that, is to actually appoint someone to bishop that already likes you. Click the laws tab to see how you can accomplish that.	Religious vassals of Catholic rulers will only give you troops and money if they have a higher opinion of you than they do of the Pope. The easiest way to assure that, is to actually appoint someone to bishop that already likes you. Click the laws tab to see how you can accomplish that.
tut_7c_5	You can have one plot and one ambition active at any given time. If you already have a plot and want to scheme against another character, you will have to cancel your old plot first.	You can have one plot and one ambition active at any given time. If you already have a plot and want to scheme against another character, you will have to cancel your old plot first.
tut_7b_4	To the left of your portait you can see a small circular button called 'Choose an Ambition'. Here you can set an ambition for your current character. Example ambitions can be to get married, to hoard up a big pile of gold, get a thousand prestige or other things like this. When you succeed with an ambition, you will also get some kind of reward, a better reward for a harder ambition of course.	To the left of your portait you can see a small circular button called 'Choose an Ambition'. Here you can set an ambition for your current character. Example ambitions can be to get married, to hoard up a big pile of gold, get a thousand prestige or other things like this. When you succeed with an ambition, you will also get some kind of reward, a better reward for a harder ambition of course.
tut_7c_4	We talked about ambitions in the intermediary intrigue tutorial. Plots can also be chosen from the character portrait screen by finding a character you wish to plot against and clicking the 'Choose a Plot' button. However, because it's hard to know exactly who you would benefit from plotting against, an easier way is to use the plot selector in the intrigue screen to find interesting plots. It is a large button called 'Click to choose a plot'.	We talked about ambitions in the intermediary intrigue tutorial. Plots can also be chosen from the character portrait screen by finding a character you wish to plot against and clicking the 'Choose a Plot' button. However, because it's hard to know exactly who you would benefit from plotting against, an easier way is to use the plot selector in the intrigue screen to find interesting plots. It is a large button called 'Click to choose a plot'.
tut_7b_2	This part will tell you about ambitions. All playable characters can select an ambition in addition to plotting devious schemes. Click your character portait to learn more.	This part will tell you about ambitions. All playable characters can select an ambition in addition to plotting devious schemes. Click your character portait to learn more.
tut_5b_4	In the military tab you can see that there are two different kind of levies: Personal levies and vassal levies. Personal levies are the ones you control yourself while the vassal levies are the levies controlled by your vassals and the vassals of your vassals. Click next to continue.	In the military tab you can see that there are two different kind of levies: Personal levies and vassal levies. Personal levies are the ones you control yourself while the vassal levies are the levies controlled by your vassals and the vassals of your vassals. Click next to continue.
tut_1a_3	Because you are playing as a Catholic ruler, provinces owned by religious holders like bishops will only give you money if their opinions of you are higher than their opinion of the Pope. Otherwise the money goes to him. Vassals other than bishops will always give you money, but you will get more if they like you.	Because you are playing as a Catholic ruler, provinces owned by religious holders like bishops will only give you money if their opinions of you are higher than their opinion of the Pope. Otherwise the money goes to him. Vassals other than bishops will always give you money, but you will get more if they like you.
FAMILY_DUES_IRO	Adult §Y$DYNASTY$§! men at court: §Y$NUM$§! (§Y$GOLD$§!¤ each).	Adult §Y$DYNASTY$§! men at court: §Y$NUM$§! (§Y$GOLD$§!¤ each).
FAMILY_DUES_DRO	Adult male courtiers of the Patrician's dynasty all require a share of the income. In return, they increase the Trade Post limit.	Adult male courtiers of the Patrician's dynasty all require a share of the income. In return, they increase the Trade Post limit.
coastal_republic_desc	§Y$CLAIMANT$§! can declare war to seize control of the coastal §Y$TITLE$§! since he or a vassal Patrician has a Trade Post in place, or the target is a rival merchant republic.	§Y$CLAIMANT$§! can declare war to seize control of the coastal §Y$TITLE$§! since he or a vassal Patrician has a Trade Post in place, or the target is a rival merchant republic.
coastal_county_republic_desc	As a Merchant Republic, §Y$CLAIMANT$§! can declare war to seize control of §Y$TITLE$§! since they already control a city there and the county is within range.	As a Merchant Republic, §Y$CLAIMANT$§! can declare war to seize control of §Y$TITLE$§! since they already control a city there and the county is within range.
MAX_TRADE_POSTS	Trade Post Limit: §Y$LIMIT$§!	Trade Post Limit: §Y$LIMIT$§!
MIN_TRADE_POSTS	Minimum Trade Post Limit: §Y$NUM$§!	Minimum Trade Post Limit: §Y$NUM$§!
ADULT_FAMILY_IN_COURT	Adult Male Family Members in Court: §Y+$VALUE$§!	Adult Male Family Members in Court: §Y+$VALUE$§!
#IS_NOT_OVER_TRADEPOST_LIMIT	Is not over Trade Post Limit	Is not over Trade Post Limit
DECLARE_WAR_INTERACTION_0	Breaking the Truce (ends on §Y$DATE$§!) would cost you §R$PRESTIGE$§! Prestige. You would be considered a '§YTruce Breaker§!', lowering all §Y[Recipient.Religion.GetGroupName]§! rulers' opinion of you by §R$OPINION$§!.	Breaking the Truce (ends on §Y$DATE$§!) would cost you §R$PRESTIGE$§! Prestige and lower all §Y[Recipient.Religion.GetGroupName]§! rulers' opinion of you by §R$OPINION$§!. You will be considered a '§YTruce Breaker§!' (§R-5§! Diplomacy for §Y5§! years.)
IMPRISON_INTERACTION_1B	Using this option is viewed as tyrannical, and will lower the opinions of all characters in the Republic of you by §R$OPINION$§!	Using this option is viewed as tyrannical, and will lower the opinions of all characters in the Republic of you by §R$OPINION$§!
OFFER_MARRIGE_INTERACTION_2A	Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get married. As the relative of a $MYPARTYTIER$, §Y$MYPARTY$§W would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying the relative of a $THEIRPARTYTIER$.	Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get married. As the relative of a $MYPARTYTIER$, §Y$MYPARTY$§W would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying the relative of a $THEIRPARTYTIER$.
OFFER_MARRIGE_INTERACTION_2B	Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get married. As the relative of a $MYPARTYTIER$, §Y$MYPARTY$§W and you would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying the relative of a $THEIRPARTYTIER$.	Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get married. As the relative of a $MYPARTYTIER$, §Y$MYPARTY$§W and you would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying the relative of a $THEIRPARTYTIER$.
OFFER_MARRIGE_INTERACTION_2C	Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get married. As a $MYPARTYTIER$, §Y$MYPARTY$§W would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying the relative of a $THEIRPARTYTIER$.	Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get married. As a $MYPARTYTIER$, §Y$MYPARTY$§W would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying the relative of a $THEIRPARTYTIER$.
OFFER_MARRIGE_INTERACTION_2D	Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get married. As a $MYPARTYTIER$, §Y$MYPARTY$§W and you would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying the relative of a $THEIRPARTYTIER$.	Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get married. As a $MYPARTYTIER$, §Y$MYPARTY$§W and you would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying the relative of a $THEIRPARTYTIER$.
OFFER_MARRIGE_INTERACTION_2E	Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get married. As the relative of a $MYPARTYTIER$, §Y$MYPARTY$§W would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying a $THEIRPARTYTIER$.	Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get married. As the relative of a $MYPARTYTIER$, §Y$MYPARTY$§W would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying a $THEIRPARTYTIER$.
OFFER_MARRIGE_INTERACTION_2F	Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get married. As the relative of a $MYPARTYTIER$, §Y$MYPARTY$§W and you would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying a $THEIRPARTYTIER$.	Propose that §Y[ActorExtra.GetTitledFirstName]§W and §Y[RecipientExtra.GetTitledFirstName]§W get married. As the relative of a $MYPARTYTIER$, §Y$MYPARTY$§W and you would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§W and $PRESTIGE2$ from marrying a $THEIRPARTYTIER$.
