#CODE	ENGLISH	ENGLISH
NAME_W_NICK	$TITLE$ $NAME$ '$NICK$'	$TITLE$ $NAME$ '$NICK$'
#VASSAL_RETRACTION_SETUP	A Vassal has been retracted	A Vassal has been retracted
VASSAL_RETRACTION_LOG	$TOP_LIEGE$ has retracted the vassalage of $VASSAL$ from $OLD_LIEGE$	$TOP_LIEGE$ has retracted the vassalage of $VASSAL$ from $OLD_LIEGE$
opinion_retracted_my_vassal	Retracted my Vassal	Retracted my Vassal
opinion_retracted_my_de_jure_vassal	Retracted my de jure Vassal	Retracted my de jure Vassal
opinion_retracted_a_vassal	Retracted a Vassal	Retracted a Vassal
opinion_retracted_a_de_jure_vassal	Retracted a de jure Vassal	Retracted a de jure Vassal
RETRACT_VASSAL_INTERACTION_TITLE	Retract Vassalage	Retract Vassalage
RETRACT_VASSAL_INTERACTION_DESC	Retract a vassal from §Y[Recipient.GetBestName]§!.	Retract a vassal from §Y[Recipient.GetBestName]§!.
RETRACT_VASSAL_INTERACTION_LONG_DESC	You can retract a vassal from one of your direct vassals. They will not be happy about this, especially if it is their de jure vassal.	You can retract a vassal from one of your direct vassals. They will not be happy about this, especially if it is their de jure vassal.
RETRACT_VASSAL_INTERACTION_0	Select a vassal to retract from §Y[Recipient.GetTitledFirstName]§W.	Select a vassal to retract from §Y[Recipient.GetTitledFirstName]§W.
RETRACT_VASSAL_INTERACTION_1	Make §Y[ThirdPartyCharacter.GetBestName]§W your direct vassal, decreasing §Y[Recipient.GetTitledFirstName]§W's opinion of you by §R$OPINION$§W.	Make §Y[ThirdPartyCharacter.GetBestName]§W your direct vassal, decreasing §Y[Recipient.GetTitledFirstName]§W's opinion of you by §R$OPINION$§W.
RETRACT_VASSAL_INTERACTION_2	Thanks to the crown authority in the §Y$CROWN_TITLE$§!, our vassals cannot object.	Thanks to the crown authority in the §Y$CROWN_TITLE$§!, our vassals cannot object.
RETRACT_VASSAL_INTERACTION_2B	Since §Y[Recipient.GetTitledFirstName]§! is a traitor, our vassals will not object.	Since §Y[Recipient.GetTitledFirstName]§! is a traitor, our vassals will not object.
RETRACT_VASSAL_INTERACTION_2C	Since §Y[Recipient.GetTitledFirstName]§! is an infidel, only §Y[Recipient.Religion.GetName]§! vassals will object (§R$OPINION$§!).	Since §Y[Recipient.GetTitledFirstName]§! is a filthy §Y[Recipient.Religion.GetName]§!, our vassals will not object.
RETRACT_VASSAL_INTERACTION_2D	This is a breach of the feudal contract and will upset your other vassals (§R$OPINION$§!).	This is a breach of the feudal contract and will upset your other vassals (§R$OPINION$§!).
RETRACT_VASSAL_INTERACTION_2N	This is a breach of the feudal contract and will upset your other non-Nomadic vassals (§R$OPINION$§!).	Our Imperial administration allows us to retract vassals without objections from the aristocracy.
RETRACT_VASSAL_INTERACTION_2E	Our Imperial administration allows us to retract vassals without objections from the aristocracy.	Vassal Retracted
