#CODE	ENGLISH	ENGLISH
AIREASON_CAN_PAY_OWN_RANSOM	§Y[GetTitledFirstName]§! can afford [GetHerHis] own ransom	§Y[GetTitledFirstName]§! can afford [GetHerHis] own ransom
AIREASON_MARRIAGE_DOES_NOT_MATCH_BETROTHAL	Marriage type does not match the betrothal	Marriage type does not match the betrothal
appointment	Appointment	Appointment
AIREASON_WILL_NOT_BE_CONSORT_INFIDELS	§Y[GetTitledFirstName]§! must not become the concubine of an infidel	§Y[GetTitledFirstName]§! must not become the concubine of an infidel
SPLIT_IN_HALF_UNIT	Split in Half	Split in Half
SPLIT_IN_HALF_UNIT_DRO	Split this unit into two units of approximately equal strength. Units with very large regiments may not be possible to split evenly.	Split this unit into two units of approximately equal strength. Units with very large regiments may not be possible to split evenly.
succ_appointment	Appointment	Appointment
succ_appointment_desc	On death, all titles revert back to the liege.	On death, all titles revert back to the liege.
papal_succession	Papal Succession	Papal Succession
succ_papal_succession	Papal Succession	Papal Succession
succ_papal_succession_desc	The Pope is elected by the College of Cardinals depending on age, piety, popularity and other factors.	The Pope is elected by the College of Cardinals depending on age, piety, popularity and other factors.
COMMANDER	Commander	Commander
FAMILY_PALACE	Family Palace	Family Palace
HAS_LOWER_SCORE_THAN	Has Lower Score than 	Has Lower Score than 
HAS_HIGHER_SCORE_THAN	Has Score of at least 	Has Score of at least 
REP_HAS_FEWER_TPS_THAN	Republic has fewer than §Y$NUM$§! Trade Posts	Republic has fewer than §Y$NUM$§! Trade Posts
REP_HAS_MORE_TPS_THAN	Republic has at least §Y$NUM$§! Trade Posts	Republic has at least §Y$NUM$§! Trade Posts
IS_NOT_HISTORICAL	Is NOT historical	Is NOT historical
IS_HISTORICAL	Is historical	Is historical
title_cardinal	Cardinal	Cardinal
crushed_revolt	Crushed Revolt	Crushed Revolt
crushed_major_revolt	Crushed Major Revolt	Crushed Major Revolt
COLLEGE_OF_CARDINALS	The College of Cardinals	The College of Cardinals
expected_next_title_cardinal	Expected Next Cardinal	Expected Next Cardinal
expected_next_title_cardinal_tooltip	This bishop is probably next in line for a Cardinalship when one becomes available.	This bishop is probably next in line for a Cardinalship when one becomes available.
best_candidate_title_cardinal	My Best Cardinal Candidate	My Best Cardinal Candidate
best_candidate_title_cardinal_tooltip	Of all the bishops in my realm, this one is the likeliest to get appointed Cardinal by the Pope.	Of all the bishops in my realm, this one is the likeliest to get appointed Cardinal by the Pope.
TITLE_GAINED_RELIGIOUS_SETUP	New Cardinal appointed.	New Cardinal appointed.
TITLE_GAINED_RELIGIOUS_LETTER	$NEWHOLDER$ was given a seat in the College of Cardinals.	$NEWHOLDER$ was given a seat in the College of Cardinals.
TITLE_GAINED_RELIGIOUS_LOG	$NEWHOLDER$ was given a seat in the College of Cardinals.	$NEWHOLDER$ was given a seat in the College of Cardinals.
alert_deficits_instant	§YBudget Deficit§!	§YBudget Deficit§!
alert_deficits_delayed	Your coffers are empty and you owe your subjects money. The morale of your armies will suffer, and the longer this goes on, the more corruption and criminals will plague your counties.	Your coffers are empty and you owe your subjects money. The morale of your armies will suffer, and the longer this goes on, the more corruption and criminals will plague your counties.
EVTDESC68000	I cannot afford to pay my magistrates and my debts to the lower classes are dangerously high. The peasants of [Root.GetName] are now completely disregarding my divine right to rule!	I cannot afford to pay my magistrates and my debts to the lower classes are dangerously high. The peasants of [Root.GetName] are now completely disregarding my divine right to rule!
EVTDESC68001	The peasants of [Root.GetName] are slowly starting to respect my rule again. I should never let my treasury go negative!	The peasants of [Root.GetName] are slowly starting to respect my rule again. I should never let my treasury go negative!
EVTDESC68010	Due to my lack of funds to pay my sheriffs and magistrates with, a Thieves' Guild has been established in [Root.GetName].	Due to my lack of funds to pay my sheriffs and magistrates with, a Thieves' Guild has been established in [Root.GetName].
EVTDESC68020	My acute budget deficit has allowed a Smugglers' Ring to appear in [Root.GetName].	My acute budget deficit has allowed a Smugglers' Ring to appear in [Root.GetName].
EVTDESC68030	My underfunded sheriffs have allowed a large band of robbers to rise in [Root.GetName]. They are too craven to attack my castles though.	My underfunded sheriffs have allowed a large band of robbers to rise in [Root.GetName]. They are too craven to attack my castles though.
EVTDESC315	My labor was difficult and I fear that something is wrong with me. The midwives look worried, and I feel so terribly weak...	My labor was difficult and I fear that something is wrong with me. The midwives look worried, and I feel so terribly weak...
EVTOPTA315	I must pray to [Root.Religion.GetRandomGodName]	I must pray to [Root.Religion.GetRandomGodName]
EVTDESC6062	Nana says I am not sick anymore.	Nana says I am not sick anymore.
EVTOPTA6062	I can run!	I can run!
sickly	Sickly	Sickly
sickly_desc	This child was born sickly and might not survive infancy.	This child was born sickly and might not survive infancy.
sickly_death	a sickly infant	a sickly infant
REL_SISTER_WIFE	Sister-Wife	Sister-Wife
REL_MOTHER_WIFE	Mother-Wife	Mother-Wife
REL_DAUGHTER_WIFE	Daughter-Wife	Daughter-Wife
REL_BROTHER_HUSBAND	Brother-Husband	Brother-Husband
REL_SON_HUSBAND	Son-Husband	Son-Husband
REL_FATHER_HUSBAND	Father-Husband	Father-Husband
jewish	Jewish	Jewish
samaritan	Samaritan	Samaritan
karaite	Karaite	Karaite
THE_TORAH	The Torah	The Torah
THE_TANAKH	The Tanakh	The Tanakh
RANDOM_CHARACTER	Random Character	Random Character
jewish_DESC	Judaism is the oldest of the Abrahamic religions and its origins can be traced back all the way to the Bronze Age. The holiest city of this monotheistic faith is Jerusalem, which served as the capital of the ancient Kingdom of Israel.	Judaism is the oldest of the Abrahamic religions and its origins can be traced back all the way to the Bronze Age. The holiest city of this monotheistic faith is Jerusalem, which served as the capital of the ancient Kingdom of Israel. Defining features in-game:\n§Y*§! Can have a religious head (the Kohen Gadol) if the High Priesthood is restored\n§Y*§! Can restore Israel if the Promised Land is reclaimed
build_third_temple	Build the Third Temple	Build the Third Temple
build_third_temple_desc	The First and Second Holy Temples in Jerusalem were both destroyed by invading armies. Now that the city has finally been restored to Jewish rule, the time has come to begin construction of a Third Temple.	The First and Second Holy Temples in Jerusalem were both destroyed by invading armies. Now that the city has finally been restored to Jewish rule, the time has come to begin construction of a Third Temple.
EVTDESC_SoA_100	Construction of the Third Temple will begin immediately on Temple Mount overlooking Jerusalem. The design of the new temple is greater in scope than even King Solomon's fabled First Temple. Your architects estimate that the construction will take roughly four years. When it is finished, it will truly be a sight to see!	Construction of the Third Temple will begin immediately on Temple Mount overlooking Jerusalem. The design of the new temple is greater in scope than even King Solomon's fabled First Temple. Your architects estimate that the construction will take roughly four years. When it is finished, it will truly be a sight to see!
EVTOPTA_SoA_100	Our people need but wait a little longer.	Our people need but wait a little longer.
EVTNAME_SoA_101	The Third Temple	The Third Temple
EVTDESC_SoA_101	The First Temple, built by King Solomon, was destroyed by the invading Babylonians. The Second Temple, built under the auspices of Cyrus the Great of Persia, was razed by the Romans after a terrible siege. The Third Temple, however, built by the great [FromFrom.GetTitledFirstName], shall stand for all eternity!\n\nFrom its position on Temple Mount, the magnificent building has become a dominant feature of Jerusalem, instantly recognizable from far away by travellers approaching the city. Truly, Solomon himself would have been moved to tears by the sight.	The First Temple, built by King Solomon, was destroyed by the invading Babylonians. The Second Temple, built under the auspices of Cyrus the Great of Persia, was razed by the Romans after a terrible siege. The Third Temple, however, built by the great [FromFrom.GetTitledFirstName], shall stand for all eternity!\n\nFrom its position on Temple Mount, the magnificent building has become a dominant feature of Jerusalem, instantly recognizable from far away by travellers approaching the city. Truly, Solomon himself would have been moved to tears by the sight.
EVTOPTA_SoA_101	It is beautiful.	It is beautiful.
restore_high_priesthood	Restore the High Priesthood	Restore the High Priesthood
restore_high_priesthood_desc	The office of the Kohen Gadol - the High Priest of Judaism - has been vacant since the destruction of the Second Temple at the hands of the Romans. Now that the Third Temple has been built, perhaps a new High Priest should be appointed.	The office of the Kohen Gadol - the High Priest of Judaism - has been vacant since the destruction of the Second Temple at the hands of the Romans. Now that the Third Temple has been built, perhaps a new High Priest should be appointed.
create_israel	Create Israel	Create Israel
create_israel_desc	It is time for the Children of Israel to found a new United Monarchy built around Jerusalem and the Promised Land, so that Jews may once more live together in peace and harmony.	It is time for the Children of Israel to found a new United Monarchy built around Jerusalem and the Promised Land, so that Jews may once more live together in peace and harmony.
k_israel	Israel	Israel
k_israel_adj	Israelites	Israelites
EVTTOOLTIP_SoA_102	The Kingdom of Israel is reborn.	The Kingdom of Israel is reborn.
EVTNAME_SoA_102	The Promised Land	The Promised Land
EVTDESC_SoA_102	With Jerusalem and the Promised Land under Jewish control, the time is ripe for the creation of a new United Monarchy named Israel - like the great kingdom of ancient times under David and Solomon.\n\nThe long-suffering Jewish people are finally in control of their own destiny again. No longer shall the Holy Land be torn asunder by warring Christian and Muslim lords. May this new kingdom usher in an era of peace and prosperity for the region!	With Jerusalem and the Promised Land under Jewish control, the time is ripe for the creation of a new United Monarchy named Israel - like the great kingdom of ancient times under David and Solomon.\n\nThe long-suffering Jewish people are finally in control of their own destiny again. No longer shall the Holy Land be torn asunder by warring Christian and Muslim lords. May this new kingdom usher in an era of peace and prosperity for the region!
EVTOPTA_SoA_102	Long live Israel!	Long live Israel!
job_spiritual_jewish_group	Court Rabbi	Court Rabbi
HEAD_KOHEN_GADOL	Kohen Gadol	Kohen Gadol
d_jewish	The Jewish High Priesthood	The Jewish High Priesthood
d_jewish_adj	Jewish	Jewish
third_temple_construction	Construction on the Third Temple has begun.	Construction on the Third Temple has begun.
INTERACTION_GRANT_THEOCRACY_NEIGHBOR	New county theocracies must not border existing ones	New county theocracies must not border existing ones
INTERACTION_GRANT_THEOCRACY_MAX	Can only have §Y$MAX$§! (§Y$MAX_PERC$%§!) counties in vassal theocracies - Currently §Y$CURRENT$§! (§Y$CURRENT_PERC$%§!)	Can only have §Y$MAX$§! (§Y$MAX_PERC$%§!) counties in vassal theocracies. Currently §Y$CURRENT$§! (§Y$CURRENT_PERC$%§!).
INTERACTION_GRANT_REPUBLIC_MAX	Can only have §Y$MAX$§! (§Y$MAX_PERC$%§!) counties in vassal republics - Currently §Y$CURRENT$§! (§Y$CURRENT_PERC$%§!)	Can only have §Y$MAX$§! (§Y$MAX_PERC$%§!) counties in vassal republics. Currently §Y$CURRENT$§! (§Y$CURRENT_PERC$%§!).
DEATH_CHILDBIRTH	died in childbirth	died in childbirth
DEATH_POOR_HEALTH	died of poor health	died of poor health
STILLBIRTH_SETUP	Stillbirth	Stillbirth
