#CODE	ENGLISH	ENGLISH
HOLD_ELECTION_EFFECT	An election is held in $TITLE$.\n	An election is held in $TITLE$.\n
ANTI_POPE_CESSATION_LOG	The Anti-Papacy of §Y$ANTIPOPE$§! has ended.	The Anti-Papacy of §Y$ANTIPOPE$§! has ended.
TRIGGER_BEST_CRUSADE_CLAIMANT	Best Claimant	Best Claimant
CRUSADE_DESC_DRO_3	Since there are good $RELIGION$ claimants to the Crown of §Y$TITLE$§!, all gained territory will be given to the strongest candidate - currently §Y$RULER$§!. Claimants who contribute to the war are prioritized.	Since there are good $RELIGION$ claimants to the Crown of §Y$TITLE$§!, all gained territory will be given to the strongest candidate - currently §Y$RULER$§!. Claimants who contribute to the war are prioritized.
restore_pope_in_rome	Restore the Papacy in Rome	Restore the Papacy in Rome
restore_pope_in_rome_desc	The Holy Father has lost control of his secular domain, but it is within my power to restore the Eternal City to him!	The Holy Father has lost control of his secular domain, but it is within my power to restore the Eternal City to him!
opinion_restored_to_rome	Restored to Rome	Restored to Rome
opinion_creator_of_rel_heal	Created my Office	Created my Office
EVTDESC_SOA_2609	This chivalric order owes its name to Santiago Matamoros, or Saint James the Moorslayer as he is known in other parts of the world. The Order of Santiago enjoys the official sponsorship of the [Root.Religion.GetName] Church and its knights have all sworn to purge entire realms of heathens and heretics if so requested by a [Root.Religion.GetName] ruler.	This chivalric order owes its name to Santiago Matamoros, or Saint James the Moorslayer as he is known in other parts of the world. The Order of Santiago enjoys the official sponsorship of the [Root.Religion.GetName] Church and its knights have all sworn to purge entire realms of heathens and heretics if so requested by a [Root.Religion.GetName] ruler.
EVTDESC_SOA_2709	The Order of Calatrava is the most recent addition to the soldiers of the Cross, having just been endorsed in a decree issued by the [Root.Religion.GetName] Church. These knights take their name from a castle recovered in Iberia from the clutches of the Moslem infidel, and they stand ready to combat heathens and defend the pious in the name of any [Root.Religion.GetName] ruler who is willing to provide for their upkeep.	The Order of Calatrava is the most recent addition to the soldiers of the Cross, having just been endorsed in a decree issued by the [Root.Religion.GetName] Church. These knights take their name from a castle recovered in Iberia from the clutches of the Moslem infidel, and they stand ready to combat heathens and defend the pious in the name of any [Root.Religion.GetName] ruler who is willing to provide for their upkeep.
EVTDESC39100	A decree has been issued confirming the formation of a new religious military order - the Knights of St. John. The Knights, who have already protected and cared for sick pilgrims in Jerusalem for some time, now have the full weight of the [Root.Religion.GetName] Church behind them. Pious [Root.Religion.GetName] rulers may call on their support in wars against heretics and heathens, but they will not fight those of their own faith.	A decree has been issued confirming the formation of a new religious military order - the Knights of St. John. The Knights, who have already protected and cared for sick pilgrims in Jerusalem for some time, now have the full weight of the [Root.Religion.GetName] Church behind them. Pious [Root.Religion.GetName] rulers may call on their support in wars against heretics and heathens, but they will not fight those of their own faith.
EVTDESC39101	A new Christian military order has been founded by a small group of wealthy knights. The Poor Fellow-Soldiers of Christ and of the Temple of Solomon - or the Knights Templar for short - have sworn to protect pilgrims travelling through the Holy Land. The [Root.Religion.GetName] church fully endorses the Order, and this will allow pious [Root.Religion.GetName] rulers to call on their aid, though they will only fight against heretics and infidels.	A new Christian military order has been founded by a small group of wealthy knights. The Poor Fellow-Soldiers of Christ and of the Temple of Solomon - or the Knights Templar for short - have sworn to protect pilgrims travelling through the Holy Land. The [Root.Religion.GetName] church fully endorses the Order, and this will allow pious [Root.Religion.GetName] rulers to call on their aid, though they will only fight against heretics and infidels.
EVTDESC39102	The Order of Brothers of the German House of Saint Mary in Jerusalem has been formed, sponsored by the [Root.Religion.GetName] Church and the Holy Roman Emperor. The Teutonic Order, much like the Knights of St. John and the Knights Templar, primarily protect and care for pilgrims to the Holy Land, but will serve any [Root.Religion.GetName] ruler willing to pay for their upkeep. Being a religious order, they will only fight against heretics and infidels.	The Order of Brothers of the German House of Saint Mary in Jerusalem has been formed, sponsored by the [Root.Religion.GetName] Church and the Holy Roman Emperor. The Teutonic Order, much like the Knights of St. John and the Knights Templar, primarily protect and care for pilgrims to the Holy Land, but will serve any [Root.Religion.GetName] ruler willing to pay for their upkeep. Being a religious order, they will only fight against heretics and infidels.
EVTDESC_SOA_1709	The Knights of Saint Anthony come from one of the oldest chivalric orders in the world. In 370, disciples of Anthony the Hermit founded the Order of Saint Anthony under the patronage of the Emperor of Ethiopia.\n\nAlthough they have kept a low profile for many centuries, this holy order has now resurfaced as a powerful force. Their stated purpose is to protect [Root.Religion.GetName] Christians from all those who would seek them harm, and to purge the land of infidels and heretics wherever they may be found.	The Knights of Saint Anthony come from one of the oldest chivalric orders in the world. In 370, disciples of Anthony the Hermit founded the Order of Saint Anthony under the patronage of the Emperor of Ethiopia.\n\nAlthough they have kept a low profile for many centuries, this holy order has now resurfaced as a powerful force. Their stated purpose is to protect [Root.Religion.GetName] Christians from all those who would seek them harm, and to purge the land of infidels and heretics wherever they may be found.
EVTDESC_SOA_1809	Some of Persia's finest warriors have taken it upon themselves to found a new holy order dedicated to safeguarding the [Root.Religion.GetName] faith. They call themselves the Immortals, just like the ancient Persian warrior elite described by Herodotus, and they seem intent on carrying on the martial traditions of their legendary predecessors.\n\nThis militant holy order has sworn to fight against all who would threaten the legacy of Zoroaster, and to never again allow Zoroastrianism to suffer the reverses it did in the wake of the Arab conquests of the 7th century.	Some of Persia's finest warriors have taken it upon themselves to found a new holy order dedicated to safeguarding the [Root.Religion.GetName] faith. They call themselves the Immortals, just like the ancient Persian warrior elite described by Herodotus, and they seem intent on carrying on the martial traditions of their legendary predecessors.\n\nThis militant holy order has sworn to fight against all who would threaten the legacy of Zoroaster, and to never again allow Zoroastrianism to suffer the reverses it did in the wake of the Arab conquests of the 7th century.
EVTDESC_SOA_1209	A Sufi sect of dervishes has arisen under the leadership of a certain Hadji Baktash Wali, a mystic from Khorasan. Striving for 'Unity of Being', Bektashis train the soul through meditation and contemplation of the inner meaning of the Koran. The Bektashi Order is warlike and especially popular among [Root.Religion.GetName] Muslim soldiers. The Order has sworn to protect Islam and to combat infidels and polytheists of all kinds.	A Sufi sect of dervishes has arisen under the leadership of a certain Hadji Baktash Wali, a mystic from Khorasan. Striving for 'Unity of Being', Bektashis train the soul through meditation and contemplation of the inner meaning of the Koran. The Bektashi Order is warlike and especially popular among [Root.Religion.GetName] Muslim soldiers. The Order has sworn to protect Islam and to combat infidels and polytheists of all kinds.
EVTDESC88000	Word is spreading that a [Root.Religion.GetName] missionary, Hassan-i Sabbah, has founded a religious order known as the 'Hashshashin' somewhere in western Persia. Using trickery and guile, this mysterious cult of trained killers has seized control of the mountain fortress of Alamut and converted it into their headquarters. Already a string of violent murders can be traced back to Hassan's devoted and fearless disciples...	Word is spreading that a [Root.Religion.GetName] missionary, Hassan-i Sabbah, has founded a religious order known as the 'Hashshashin' somewhere in western Persia. Using trickery and guile, this mysterious cult of trained killers has seized control of the mountain fortress of Alamut and converted it into their headquarters. Already a string of violent murders can be traced back to Hassan's devoted and fearless disciples...
donate_money_to_assassins	Donate 300¤ to the Hashshashins	Donate 300¤ to the Hashshashins
donate_money_to_assassins_desc	Donate money to the Hashshashins in exchange for [Player.Religion.GetPietyName].	I can donate money to the Hashshashins in exchange for [Player.Religion.GetPietyName].
donate_money_to_bektashi	Donate 300¤ to the Bektashi	Donate 300¤ to the Bektashi
donate_money_to_bektashi_desc	Donate money to the Bektashi in exchange for [Player.Religion.GetPietyName].	I can donate money to the Bektashi in exchange for [Player.Religion.GetPietyName].
donate_money_to_knights_templar	Donate 300¤ to the Templars	Donate 300¤ to the Templars
donate_money_to_knights_templar_desc	Donate money to the Knights Templar in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.	I can donate money to the Knights Templar in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.
donate_money_to_knights_hospitaler_desc	Donate money to the Knights Hospitaller in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.	I can donate money to the Knights Hospitaller in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.
donate_money_to_teutonic_order_desc	Donate money to the Teutonic Order in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.	I can donate money to the Teutonic Order in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.
donate_money_to_knights_santiago_desc	Donate money to the Knights of Santiago in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.	I can donate money to the Knights of Santiago in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.
donate_money_to_knights_calatrava_desc	Donate money to the Knights of Calatrava in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.	I can donate money to the Knights of Calatrava in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.
donate_money_to_holy_sepulchre_desc	Donate money to the Brotherhood of the Holy Sepulchre in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.	I can donate money to the Brotherhood of the Holy Sepulchre in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.
donate_money_to_saint_anthony_desc	Donate money to the Order of Saint Anthony in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.	I can donate money to the Order of Saint Anthony in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.
donate_money_to_the_immortals_desc	Donate money to the Immortals in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.	I can donate money to the Immortals in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.
donate_money_to_the_zealots_desc	Donate money to the Zealots in exchange for [Root.Religion.GetPietyName] and lifelong respect from the [Root.Religion.GetName] Priesthood.	I can donate money to the Zealots in exchange for [Root.Religion.GetPietyName] and lifelong respect from the [Root.Religion.GetName] Priesthood.
EVTDESC_SOA_1841	Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation will aid us greatly in our continued defense of the [Root.Religion.GetName] faithful! You have my friendship, as well as that of the priesthood.\n\nBy Zoroaster's will,\nGrand Master [From.GetFirstName]	Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation will aid us greatly in our continued defense of the [Root.Religion.GetName] faithful! You have my friendship, as well as that of the priesthood.\n\nBy Zoroaster's will,\nGrand Master [From.GetFirstName]
EVTDESC_SOA_1941	Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation will aid us greatly in our continued defense of Jerusalem, the Third Temple and the [Root.Religion.GetName] faith! You have my friendship, as well as that of the priesthood.\n\nRemember Masada!\nGrand Master [From.GetFirstName]	Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation will aid us greatly in our continued defense of Jerusalem, the Third Temple and the [Root.Religion.GetName] faith! You have my friendship, as well as that of the priesthood.\n\nRemember Masada!\nGrand Master [From.GetFirstName]
PREVENT_DECADENCE	This character will not contribute to decadence in his dynasty.	This character will not contribute to decadence in his dynasty.
TITLE_REQUEST_CLAIM	Claim	Claim
TITLE_REQUEST_CLAIM_TOOLTIP	Request a Claim on this Title	Request a Claim on this Title
TITLE_CANNOT_USURP_COUNTIES_OTHER_REALM	§RNot possible to Usurp County rank Titles outside your Realm	§RNot possible to Usurp County rank Titles outside your Realm
TITLE_CANNOT_USURP_BARONIES	§RNot possible to Usurp Barony rank Titles	§RNot possible to Usurp Barony rank Titles
TITLE_CANNOT_USURP_OWN	§RCannot Usurp Titles in your own Realm without a Strong Claim!	§RCannot Usurp Titles in your own Realm without a Strong Claim!
TITLE_NEW_PRIMARY_NOT_SAME_RANK	§RThe new Primary Title has to be the same Rank as the previous one!	§RThe new Primary Title has to be the same Rank as the previous one!
TITLE_NEW_PRIMARY_IS_SAME	This is Already your Primary Title!	This is Already your Primary Title!
TITLE_NEW_PRIMARY_IS_PATRICIAN	§RCannot set your Primary Title to a Patrician Settlement!	§RCannot set your Primary Title to a Patrician Settlement!
asked_for_claim	Asked for Claim	Asked for Claim
