#CODE	ENGLISH	ENGLISH
INTERACTION_RELIGION_MUST_MARRY_REGULARLY	$RELIGION$ characters cannot marry Matrilineally	$RELIGION$ characters cannot marry Matrilineally!
INTERACTION_CANNOT_GRANT_CAPITAL_IF_MOVED	Cannot give away the capital county after moving the capital	Cannot give away the capital county after moving the capital
INTERACTION_REVOKE_BEFORE_DATE	Cannot revoke this granted title before §Y$DATE$§!	Cannot revoke this granted title before §Y$DATE$§!
AIREASON_FIGHTING_FOR_THE_CHURCH	Fighting for the Church	Fighting for the Church
IS_NOT_MATRI_MARRIED	Is NOT matrilineally married	Is NOT matrilineally married
IS_MATRI_MARRIED	Is matrilineally married	Is matrilineally married
IS_RECENT_GRANT	Was recently granted	Was recently granted
IS_NOT_RECENT_GRANT	Was NOT recently granted	Was NOT recently granted
AIREASON_AI_FLAG_REFUSE_CONVERSION	True believer	True believer
INTERACTION_GRANT_THEOCRACY_LIMITS	Cannot give theocracies more than one duchy or kingdom	Cannot give theocracies more than one duchy or kingdom
deposed_antipope	Deposed an Antipope	Deposed an Antipope
opinion_deposed_antipope	Deposed an Antipope	Deposed an Antipope
depose_antipope_desc	This Casus Belli can be used to depose an antipope in another realm.	This Casus Belli can be used to depose an antipope in another realm.
CB_NAME_DEPOSE_ANTIPOPE	Depose Antipope	Depose Antipope
WAR_NAME_DEPOSE_ANTIPOPE	$FIRST_ADJ$-$SECOND_ADJ$ Antipapal War	$FIRST_ADJ$-$SECOND_ADJ$ Antipapal War
CB_NAME_INSTALL_ANTIKING	Install Antiking	Install Antiking
WAR_NAME_INSTALL_ANTIKING	$FIRST_ADJ$-$SECOND_ADJ$ Antiking War	$FIRST_ADJ$-$SECOND_ADJ$ Antiking War
ANTIPOPE_RECENTLY_DEPOSED	§RAn antipope was recently forcibly deposed§!	§RAn antipope was recently forcibly deposed§!
ANTIPOPE_CREATION_WRONG_RELIGION	§RIs not $RELIGION$§!	§RIs not $RELIGION$§!
faction_antiking_short	Antiking [From.GetFirstName]	Antiking [From.GetFirstName]
faction_antiking_title	Antiking [From.GetFirstName] for [This.GetName]	Antiking [From.GetFirstName] for [This.GetName]
faction_antiking_desc	Members seek to restore Papal authority in [This.GetName] by installing §Y[From.GetBestName]§! on the throne, deposing any antipope and passing the Papal Investiture law.	Members seek to restore Papal authority in [This.GetName] by installing §Y[From.GetBestName]§! on the throne, deposing any antipope and passing the Papal Investiture law.
faction_antiking_ultimatum	Demand the Throne	Demand the Throne
faction_antiking_ultimatum_desc	Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding the throne, the overthrow of antipopes and the institution of Papal Investiture. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.	Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding the throne, the overthrow of antipopes and the institution of Papal Investiture. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.
EVTDESC8200	Your shameful backing of a false Pope must end now. The Holy Father has agreed that the throne of [Root.PrimaryTitle.GetName] should pass to me so that the realm can be brought back into the true [From.Religion.GetName] fold. Submit to this demand peacefully or face the consequences. The righteous stand behind me!\n\nSigned,\n[From.GetTitledName]	Your shameful backing of a false Pope must end now. The Holy Father has agreed that the throne of [Root.PrimaryTitle.GetName] should pass to me so that the realm can be brought back into the true [From.Religion.GetName] fold. Submit to this demand peacefully or face the consequences. The righteous stand behind me!\n\nSigned,\n[From.GetTitledName]
EVTDESC8201	Rather than letting civil war tear the realm apart, [From.GetTitledName] has agreed to relinquish the throne to me. Your valuable support in this conflict will not be forgotten.\n\nSincerely,\n[FromFrom.GetTitledName]	Rather than letting civil war tear the realm apart, [From.GetTitledName] has agreed to relinquish the throne to me. Your valuable support in this conflict will not be forgotten.\n\nSincerely,\n[FromFrom.GetTitledName]
EVTDESC8202	Under pressure from the papally sanctioned Antiking Faction, [From.GetTitledName] has agreed to relinquish the throne.	Under pressure from the papally sanctioned Antiking Faction, [From.GetTitledName] has agreed to relinquish the throne.
EVTDESC8203	Rather than risking civil war tearing the realm apart, I have decided to give in to your demand and relinquish the throne. But this treacherous act of blackmail will not be forgotten...\n\nSigned,\n[From.GetTitledName]	Rather than risking civil war tearing the realm apart, I have decided to give in to your demand and relinquish the throne. But this treacherous act of blackmail will not be forgotten...\n\nSigned,\n[From.GetTitledName]
REL_HEAD_ALLY_CB	Religious Head War Ally	Religious Head War Ally
ANTIPOPE_CREATOR_MUST_BE_INDEPENDENT	§RYou must be independent to create an antipope§!	§RYou must be independent to create an antipope§!
ca_culture_jewish_1	Jewish Heavy Infantry Barracks	Jewish Heavy Infantry Barracks
ca_culture_jewish_2	Jewish Heavy Infantry Barracks	Jewish Heavy Infantry Barracks
ca_culture_jewish_3	Jewish Heavy Infantry Barracks	Jewish Heavy Infantry Barracks
ca_culture_jewish_4	Jewish Heavy Infantry Barracks	Jewish Heavy Infantry Barracks
ca_culture_jewish_1_desc	This is where the elite infantry serving a Jewish ruler is trained. Special care is taken to equip the soldiers with the finest heavy armor that money can buy. This, combined with rigorous training and iron discipline, makes them an elite force to be truly feared.	This is where the elite infantry serving a Jewish ruler is trained. Special care is taken to equip the soldiers with the finest heavy armor that money can buy. This, combined with rigorous training and iron discipline, makes them an elite force to be truly feared.
RETTYPE_CUL_JEWISH	Bar Kochba Guards	Bar Kochba Guards
narrow_flank_leader	Battlefield Terrain Master	Convert to Catharism
narrow_flank_leader_desc	This character has mastered the craft of finding the perfect terrain for defensive battles.	The pillow talk of a spouse or concubine can be very persuasive. This White Christ does not sound very warlike though...
NARROW_FLANK	Narrow Flank	Convert to Fraticelli
TITLE_CANNOT_USURP_COUNTIES	Not possible to Usurp County Rank Titles!	The pillow talk of a spouse or concubine can be very persuasive. This White Christ does not sound very warlike though...
EVTOPTC65155	What have I become? No more steak for me.	Convert to Waldensian
#IRONMAN_MODE_CHECKSUM_DESC	The game data files have been altered in some way, disabling achievements in Ironman mode. Check so you don't have a mod loaded or verify your game files.	The pillow talk of a spouse or concubine can be very persuasive. This White Christ does not sound very warlike though...
EVTDESC_SoA_561	The realm has benefitted from the vast network of contacts that [From.GetTitledName], your Jewish [Root.GetChancellorName], has fostered abroad. Somehow [From.GetSheHe] always manages to keep up to date on new customs and the latest diplomatic developments.	Convert to Lollard
EVTOPTA_SoA_561	Excellent work.	The pillow talk of a spouse or concubine can be very persuasive. This White Christ does not sound very warlike though...
EVTDESC_SoA_563	[From.GetTitledName], your [Root.GetTreasurerName], has several contacts among the Radhanites. This Jewish merchant network supposedly stretches across the entirety of the known world, from Western Europe all the way to distant Cathay, and these contacts have been a great boon to the development of the realm's economy.	Convert to Bogomilist
EVTDESC_SoA_565	Your [Root.GetSpymasterName], [From.GetTitledName], seems to have friends and informants inside every Jewish community in Europe. Messenger pigeons arrive at [From.GetHerHis] abode on a daily basis, often carrying vital intelligence from abroad about new weapons and tactics.	The pillow talk of a spouse or concubine can be very persuasive. This White Christ does not sound very warlike though...
LOADING_TIP_53	Jewish councillors will sometimes benefit the advancement of technology.	Convert to Nestorian
AIREASON_EXISTING_BETROTHAL	Will honor the betrothal	The pillow talk of a spouse or concubine can be very persuasive. This White Christ does not sound very warlike though...
cathar_DESC	The Cathar, or Albigensian, heresy rejects confession and the holiness of the clergy and of the Pope. They only have a single sacrament - the Consolation - to remove sin and turn the believer into a Cathar 'Perfect'.	Convert to Monothelite
fraticelli_DESC	The Fraticelli, or 'Little Brethren', is a Catholic heresy that originated in the Fransiscan Order of monks. It is devoted to poverty and asceticism - especially for men of the cloth. Fraticelli heretics are violently opposed to Church wealth and displays of opulence.	The pillow talk of a spouse or concubine can be very persuasive. This White Christ does not sound very warlike though...
bogomilist_DESC	Bogomilism is an originally Orthodox Christian heresy with Gnostic elements that completely rejects the ecclesiastical hierarchy and advocates a return to early Christianity. Bogomilists believe that the world was created by an evil demiurge - the Devil.	Convert to Iconoclast
iconoclast_DESC	The Iconoclast heresy plagued the Byzantine Empire in multiple waves. Iconoclasts believe that religious images - icons and depictions of holy figures in particular - are a form of idolatry and must not be allowed. In their heyday, iconoclasts destroyed innumerable such decorations and icons, sometimes even urged on by Iconoclast Emperors.	The pillow talk of a spouse or concubine can be very persuasive. This White Christ does not sound very warlike though...
yazidi_DESC	The Yazidi religion is properly a distinct religion but is treated as a Sunni heresy in the game. Yazidis believe that God created the world and left seven angels in charge, the chief of whom is the Peacock Angel, Malek Taus or Shaytan, a being usually identified by Christians and Muslims as Satan.	Convert to Zikri
ibadi_DESC	Ibadism is distinct from both Shi'a and Sunni Islam. Ibadis believe that souls condemned to Hell will stay there forever. Ibadis also reject the notion that Muslims will get to see Allah on the Day of Judgment.	The pillow talk of a spouse or concubine can be very persuasive. Can this Allah beat the Old Gods though?
hurufi_DESC	The Hurufi faith is a mystical, kabbalistic, Sufi sect within Islam, regarded as a heresy.	Convert to Yazidi
karaite_DESC	Karaite Judaism is a Jewish movement characterized by the recognition of the Tanakh alone as its supreme legal authority in Jewish religious law and theology. In this it is distinct from mainstream Rabbinic Judaism. Karaites maintain that all of the divine commandments handed down to Moses by God were recorded in the written Torah, without additional Oral Law or explanation. In-game, Karaite Judaism is a heresy of mainstream Judaism. This heresy has no formal head and no special game mechanics.	The pillow talk of a spouse or concubine can be very persuasive. Can this Allah beat the Old Gods though?
samaritan_DESC	Samaritanism is an Abrahamic religion closely related to Judaism. Samaritans assert their worship is the true religion of the ancient Israelites prior to the Babylonian Exile, preserved by those who remained in the Land of Israel, as opposed to Judaism, which they assert is a related but altered and amended religion. In-game, Samaritanism is treated as a heresy of mainstream Judaism. This heresy has no formal head and no special game mechanics.	Convert to Ibadi
title_fraticelli_cardinal	Cardinal	The pillow talk of a spouse or concubine can be very persuasive. Can this Allah beat the Old Gods though?
expected_next_title_fraticelli_cardinal	Expected Next Cardinal	Convert to Druze
expected_next_title_fraticelli_cardinal_tooltip	This bishop is probably next in line for a Cardinalship when one becomes available.	The pillow talk of a spouse or concubine can be very persuasive. Can this Allah beat the Old Gods though?
best_candidate_title_fraticelli_cardinal	My Best Cardinal Candidate	Convert to Hurufi
best_candidate_title_fraticelli_cardinal_tooltip	Of all the bishops in my realm, this one is the likeliest to get appointed Cardinal by the Pope.	The pillow talk of a spouse or concubine can be very persuasive. Can this Allah beat the Old Gods though?
EVTOPTJ96501	Focus on mastering defensive terrain.	Convert to Mazdaki
EVTOPTK96501	Focus on siege tactics.	The pillow talk of a spouse or concubine can be very persuasive. Zoroaster was undoubtedly a wise prophet - perhaps life really is a struggle between good and evil?
create_ibadi_caliphate	Create the Ibadi Caliphate	Convert to Manichean
create_ibadi_caliphate_desc	Create the Ibadi Caliphate and assume your position as spiritual leader of all true Ibadi Muslims.	The pillow talk of a spouse or concubine can be very persuasive. Zoroaster was undoubtedly a wise prophet - perhaps life really is a struggle between good and evil?
UNSUPPORTED_VERSION	§RUNSUPPORTED§!	Convert to Monophysitism
		The pillow talk of a spouse or concubine can be very persuasive. This White Christ does not sound very warlike though...
		Convert to Samaritan
		The pillow talk of a spouse or concubine can be very persuasive. Perhaps these Children of Israel truly are God's chosen?
		Convert to Karaite
