#CODE	ENGLISH	ENGLISH
#TITLE_CREATION_HAS_OWNER	You are not allowed to create or usurp titles while you hold a Temporary title	You are not allowed to create or usurp titles while you hold a Temporary title
CAN_ONLY_JOIN_X_FACTIONS	§ROnly allowed to join §Y$NUM$§! Factions!§!	Only allowed to join §Y$NUM$§! Factions!
INTERACTION_REQUIRES_NO_ACTOR_TEMPORARY_TITLE	§Y[Actor.GetTitledFirstName]§! must not currently hold a Temporary title	[Actor.GetBestName] must not currently hold a Temporary title
INTERACTION_REQUIRES_NO_RECIPIENT_TEMPORARY_TITLE	§Y[Recipient.GetTitledFirstName]§! must not currently hold a Temporary title	[Recipient.GetBestName] must not currently hold a Temporary title
REBEL_TITLE	[Recipient.PrimaryTitle.GetAdjective] Revolt	[Recipient.PrimaryTitle.GetAdjective] Revolt
opinion_rebel_leader	Leader of the Rebellion	Leader of the Rebellion
opinion_fellow_rebel	Fellow Rebel	Fellow Rebel
CHECKBOX_COMPRESSED_SAVEGAMES	Compress game data	Compress game data
EVTDESC75041	There's an infidel at your court, my liege!', my [Root.GetLordSpiritualName] [From.GetTitledFirstName] said.\n'I demand you burn the infidel at the stake!'	There's an infidel at your court, my liege!', my [Root.GetLordSpiritualName] [From.GetTitledFirstName] said.\n'I demand you burn the infidel at the stake!'
EVTDESC75042	There's an infidel at your court, my liege!', my [Root.GetLordSpiritualName] [From.GetTitledFirstName] said.\n'I demand you banish the infidel!'	There's an infidel at your court, my liege!', my [Root.GetLordSpiritualName] [From.GetTitledFirstName] said.\n'I demand you banish the infidel!'
EVTDESC75051	My liege, you have a heretic in your court!', my [Root.GetLordSpiritualName] [From.GetTitledFirstName] told me in confidence.\n'I recommend you set an example and burn the heretic on the stake!'	My liege, you have a heretic in your court!', my [Root.GetLordSpiritualName] [From.GetTitledFirstName] told me in confidence.\n'I recommend you set an example and burn the heretic on the stake!'
TITLE_HAS_NO_HOLDER	Cannot Revoke as this Title has no Holder.	Cannot Revoke as this Title has no Holder.
LOADING_TIP_54	Muslims can get rid of the Decadent trait by going on the Hajj to Mecca.	Muslims can get rid of the Decadent trait by going on the Hajj to Mecca.
TITLE_CANNOT_USURP_PRIMARY_OFF_OTHER_REL	§RCannot Usurp the sole primary title off a ruler of another religion who still holds land within it.§!	§RCannot Usurp the sole primary title off a ruler of another religion who still holds land within it
age_child	Child	Child
age_teen	Teenager	Teenager
age_young	Young Adult	Young Adult
age_adult	Adult	Adult
age_old	Old Age	Old Age
age_very_old	Old Age	Old Age
WRONG_OCEAN	Can be Reached by Sea	Can be Reached by Sea
indian_subjugation_desc	Rulers of the Indian religions can subjugate each other for §Y500§! Karma if they are from the same culture group.	Rulers of the Indian religions can subjugate each other for §Y500§! Karma if they are from the same culture group.
jungle	Jungle	Jungle
hindu	Hindu	Hindu
hindu_DESC	Hinduism is not a single religion so much as a blanket term for the successor faiths of ancient Indian polytheism as recorded in the Vedas. The existence of many different sects within Hinduism - as well as millennia of relatively peaceful co-existence with Jainism and Buddhism - has made the Hindu faith remarkably tolerant and pluralistic toward all Indian religions. Still, it is the most warlike of the three.	Hinduism is not a single religion so much as a blanket term for the successor faiths of ancient Indian polytheism as recorded in the Vedas. The existence of many different sects within Hinduism - as well as millennia of relatively peaceful co-existence with Jainism and Buddhism - has made the Hindu faith remarkably tolerant and pluralistic toward all Indian religions. Still, it is the most warlike of the three. Defining features in-game:\n§Y*§! There is no religious head\n§Y*§! Caste Traits matter greatly\n§Y*§! Can declare Subjugation Wars against all Indian religions\n§Y*§! Can raid neighboring counties of other faiths\n§Y*§! Can declare regular Holy Wars against non-Indian religions\n§Y*§! Hard to convert Jain and Buddhist counties
buddhist	Buddhist	Buddhist
jain	Jain	Jain
nubian	Nubian	Nubian
GOD_SHIVA	Shiva	Shiva
GOD_THE_SUPREME	the Supreme	the Supreme
THE_VINAYAKAS	the Vinyakas	the Vinyakas
THE_MAHABHARATA	the Mahabharata	the Mahabharata
PUJARI	Pujari	Pujari
GOD_THE_BUDDHA	the Buddha	the Buddha
GOD_THE_ARHAT	the Arhat	the Arhat
GOD_THE_PERFECTED_ONES	the Perfected Ones	the Perfected Ones
MARA	Mara	Mara
THE_BUDDHACAVANA	the Buddhavacana	the Buddhacavana
BHIKKHU	bhikkhu	bhikkhu
GOD_THE_TIRTHANKARAS	the Tirthanankaras	the Tirthanankaras
GOD_RISHABH	Rishabh	Rishabh
GOD_AJINATH	Ajinath	Ajinath
GOD_SAMBHAVANATH	Sambhavanath	Sambhavanath
THE_PUNISHERS	the Punishers	the Punishers
NIRGRANTHA	nirgrantha	nirgrantha
brahmin	Brahmin	Brahmin
#brahmin_desc	Belongs to the Brahmin caste.	Belongs to the Brahmin caste.
kshatriya	Kshatriya	Kshatriya
#kshatriya_desc	Belongs to the Kshatriya caste.	Belongs to the Kshatriya caste.
vaishya	Vaishya	Vaishya
#vaishya_desc	Belongs to the Vaishya caste.	Belongs to the Vaishya caste.
shaivist_hindu	Shaivist	Shaivist
shaivist_hindu_desc	This character follows the Shaivist branch of Hinduism.	This character follows the Shaivist branch of Hinduism.
vaishnavist_hindu	Vaishnavist	Vaishnavist
vaishnavist_hindu_desc	This character follows the Vaishnavist branch of Hinduism.	This character follows the Vaishnavist branch of Hinduism.
shaktist_hindu	Shaktist	Shaktist
shaktist_hindu_desc	This character follows the Shaktist branch of Hinduism.	This character follows the Shaktist branch of Hinduism.
smartist_hindu	Smartist	Smartist
smartist_hindu_desc	This character follows the Smartist branch of Hinduism.	This character follows the Smartist branch of Hinduism.
mahayana_buddhist	Mahayana Buddhist	Mahayana Buddhist
mahayana_buddhist_desc	This character follows the Mahayana branch of Buddhism.	This character follows the Mahayana branch of Buddhism.
vajrayana_buddhist	Vajrayana Buddhist	Vajrayana Buddhist
vajrayana_buddhist_desc	This character follows the Vajrayana branch of Buddhism.	This character follows the Vajrayana branch of Buddhism.
theravada_buddhist	Theravada Buddhist	Theravada Buddhist
theravada_buddhist_desc	This character follows the Theravada branch of Buddhism.	This character follows the Theravada branch of Buddhism.
digambara_jain	Digambara Jain	Digambara Jain
