#CODE	ENGLISH	GALEGO
temple_baron_west_african_pagan	Priest	Sacerdote
temple_baron_west_african_pagan_reformed	Priest	Sacerdote
temple_baron_female_west_african_pagan	Priestess	Sacerdotisa
temple_baron_female_west_african_pagan_reformed	Priestess	Sacerdotisa
MATCHMAKING_REFRESH_LAN_STOP	Stop Refreshing	Deixar de refrescar
VS_REL_ENEMY	Damage Against Religious Enemies	Dano contra inimigos relixiosos
EXILE_IMPRISONED_INTERACTION_3	The banishment will cost you §R$PIETY$§! $PIETYNAME$.	O desterro costarache §R$PIETY$§! puntos de $PIETYNAME$.
S_TRO	ST	ST
defenderbonus_jungle	Jungle	Xungla
HAS_AUTOCEPHALY	Has Autocephaly	Ten autocefalia
HAS_NOT_AUTOCEPHALY	Does NOT have Autocephaly	NON ten autocefalia
