#CODE	ENGLISH	ENGLISH
#FILTER_SAME_REL	My Religion	My Religion
#FILTER_SAME_REL_GROUP	My Religion Group	My Religion Group
#FILTER_NOT_SAME_REL	Not My Religion	Not My Religion
#FILTER_NOT_SAME_REL_GROUP	Not My Religion Group	Not My Religion Group
#FILTER_ANY_REL	Any Religion	Any Religion
#FILTER_SAME_CUL	My Culture	My Culture
#FILTER_SAME_CUL_GROUP	My Culture Group	My Culture Group
#FILTER_NOT_SAME_CUL	Not My Culture	Not My Culture
#FILTER_ANY_CUL	Any Culture	Any Culture
#FILTER_NOT_SAME_CUL_GROUP	Not My Culture Group	Not My Culture Group
temple_baron_jewish	Rabbi	Rabbi
temple_baron_samaritan	Rabbi	Rabbi
temple_baron_karaite	Rabbi	Rabbi
RETTYPE_CUL_NUBIAN	Nubian Archers	Nubian Archers
ca_culture_nubian_1	Nubian Warrior Barracks	Nubian Warrior Barracks
ca_culture_nubian_2	Nubian Warrior Barracks	Nubian Warrior Barracks
ca_culture_nubian_3	Nubian Warrior Barracks	Nubian Warrior Barracks
ca_culture_nubian_4	Nubian Warrior Barracks	Nubian Warrior Barracks
ca_culture_nubian_1_desc	These barracks are where the ancient Nubian warrior traditions are nurtured and developed. Nubia has since ancient times been respected for its masterful archers, and other elite units of infantry are trained and drilled to support this potent weapon of the Nubian rulers.	These barracks are where the ancient Nubian warrior traditions are nurtured and developed. Nubia has since ancient times been respected for its masterful archers, and other elite units of infantry are trained and drilled to support this potent weapon of the Nubian rulers.
#NOT_VARIABLE	§Y$VAR$§! is less than §Y$VALUE$§!	§Y$VAR$§! is less than §Y$VALUE$§!
#VARIABLE	§Y$VAR$§! is at least §Y$VALUE$§!	§Y$VAR$§! is at least §Y$VALUE$§!
#SET_VARIABLE	Set §Y$VAR$§! to §Y$VALUE$§!	Set §Y$VAR$§! to §Y$VALUE$§!
#CHANGE_VARIABLE	Change §Y$VAR$§! with §Y$VALUE$§!	Change §Y$VAR$§! with §Y$VALUE$§!
#SUBTRACT_VARIABLE	Subtract §Y$VALUE$§! from §Y$VAR$§!	Subtract §Y$VALUE$§! from §Y$VAR$§!
#MULTIPLY_VARIABLE	Multiply §Y$VAR$§! with §Y$VALUE$§!	Multiply §Y$VAR$§! with §Y$VALUE$§!
