#CODE	ENGLISH	GALEGO
e_germany	Germania	Germania
e_germany_adj	German	German
k_lotharingia	Middle Francia	Middle Francia
k_lotharingia_adj	Middle Francian	Middle Francian
LOTHARINGIA	Lotharingia	Lotharingia
LOTHARINGIA_ADJ	Lotharingian	Lotharingian
form_the_hre_early	Found the Holy Roman Empire	Found the Holy Roman Empire
form_the_hre_early_desc	Is it not every [Root.GetTitle]'s dream to be recognized as the true successor to the Caesars? I can invoke the translatio imperii and have [Root.RelHead.GetBestName] crown me as ruler of a new Roman Empire in the west!	Is it not every [Root.GetTitle]'s dream to be recognized as the true successor to the Caesars? I can invoke the translatio imperii and have [Root.RelHead.GetBestName] crown me as ruler of a new Roman Empire in the west!
form_the_hre_early_tooltip_1	Is [Root.GetKingQueen] of Italy or [Root.GetEmperorEmpress] of Italia\n	Is [Root.GetKingQueen] of Italy or [Root.GetEmperorEmpress] of Italia\n
form_the_hre_early_tooltip_2	Holds at least one kingdom or empire title within the de jure empires of Francia, Germania, Hispania or Britannia\n	Holds at least one kingdom or empire title within the de jure empires of Francia, Germania, Hispania or Britannia\n
form_the_hre_early_tooltip_3	No other Christian ruler is Emperor of Italia, Francia, Germania, Hispania or Britannia\n	No other Christian ruler is Emperor of Italia, Francia, Germania, Hispania or Britannia\n
frankish	French	French
old_frankish	Frankish	Frankish
old_saxon	Saxon	Saxon
lombard	Lombard	Lombard
visigothic	Visigothic	Visigothic
somali	Somali	Somali
suebi	Suebi	Suebi
ilmenian	Ilmenian	Ilmenian
severian	Severian	Severian
volhynian	Volhynian	Volhynian
d_powys	Powys	Powys
d_powys_adj	Powys	Powys
BM_CHARLEMAGNE	Charlemagne	Charlemagne
LOMBARD_KINGDOM	Lombardy	Lombardy
LOMBARD_KINGDOM_ADJ	Lombard	Lombard
k_lombardy	Lombardy	Lombardy
k_lombardy_adj	Lombard	Lombard
WELCOME_HEADER	Welcome to Crusader Kings II	Benvido ao Crusader Kings II
#WELCOME_TEXT	You can play as any medieval ruler at any point in time, from a lowly count to an all-powerful emperor. When your character dies, you will need an heir to take over, and so on, down the ages. The starting situation is historical - and thus completely unbalanced. Check the difficulty estimation of a ruler before you start playing!	You can play as any medieval ruler at any point in time, from a lowly count to an all-powerful emperor. When your character dies, you will need an heir to take over, and so on, down the ages. The starting situation is historical - and thus completely unbalanced. Check the difficulty estimation of a ruler before you start playing!
WELCOME_FIRST_PLAY_RECOMMEND	\n\nFor your first game we strongly recommend playing a special learning scenario as §YKing Alfonso VI of León§!. When it ends you can keep playing as normal.	\n\nFor your first game we strongly recommend playing a special learning scenario as §YKing Alfonso VI of León§!. When it ends you can keep playing as normal.
WELCOME_PLAY_LEARNING_SCENARIO	Learning Scenario	Learning Scenario
WELCOME_PLAY_NORMAL_GAME	Normal Game	Normal Game
DONT_SHOW_AGAIN	Don't show this again	Don't show this again
