#CODE	ENGLISH	ENGLISH
EVTOPTC91355	Maybe I can appeal to [From.GetHerHis] greedy side...	Maybe I can appeal to [From.GetHerHis] greedy side...
EVTOPTD91355	[Root.Religion.GetRandomGodName] will be pleased if I donate some gold.	[Root.Religion.GetRandomGodName] will be pleased if I donate some gold.
EVTOPTE91355	Maybe I can bring [From.GetHerHis] [From.Spouse.GetHusbandWife] over to my side.	Maybe I can bring [From.GetHerHis] [From.Spouse.GetHusbandWife] over to my side.
EVTDESC91372	My agents have brought me a message from [From.GetTitledFirstName], who still refuses my demands that [From.GetSheHe] straighten up! [From.GetSheHeCap] offered to give me a strong eunuch of great martial ability as a gift if I allow [From.GetHerHim] to persist in [From.GetHerHis] decadence.	My agents have brought me a message from [From.GetName], who still refuses my demands that [From.GetSheHe] straighten up! [From.GetSheHe] offered to give me a strong eunuch of great martial ability as a gift if I allow [From.GetHerHim] to persist in [FromGetHerHis] decadence.
EVTOPTA91372	I could surely use such a eunuch!	I could surely use such a eunuch!
EVTDESC91373	[From.GetTitledFirstName] talked to me about how [From.GetSheHe] has chosen to live [From.GetHerHis] own life. [From.GetSubjectPronounCap] tried to explain to me me that what I have viewed as decadence was merely a different way of honoring [From.Religion.GetRandomGodName]'s will. [From.GetSheHeCap] also offered to make a religious donation in my name as a gesture of friendship.	[From.GetName] talked to me about how [From.GetSheHe] has chosen to live [From.GetHerHis] own life. [From.GetSubjectPronounCap] tried to explain to me me that what I have viewed as decadence was merely a different way of honoring [From.Religion.GetRandomGodName]'s will. [From.GetSheHe] also offered to make a religious donation in my name as a gesture of friendship.
EVTOPTA91373	Such a donation would surely please [From.Religion.GetRandomGodName].	Such a donation would surely please [From.Religion.GetRandomGodName].
EVTDESC91374	[From.GetTitledFirstName] came to my chambers and whispered pretty words in my ear. [Root.Spouse.GetTitledFirstName] insists that [From.GetSheHe] ought to be thrown in jail due to [From.GetHerHis] decadent ways, but [From.GetTitledFirstName] now seems to be very different from what I had heard.	[From.GetName] came to my chambers and whispered pretty words in my ear. [Root.Spouse.GetName] insists that [From.GetHeShe] ought to be thrown in jail due to [From.GetHerHis] decadent ways, but [From.GetName] now seems to be very different from what I had heard.
EVTOPTA91374	I have fallen in love!	I have fallen in love!
EVTOPTB91374	This is clearly just an act!	This is clearly just an act!
EVTDESC91375	My spouse is upset about what [From.GetSheHe] refers to as my unnecessarily harsh attitude towards [FromFrom.GetTitledFirstName] and [FromFrom.GetHerHis] decadent ways, and asks me to leave [FromFrom.GetHerHim] alone.	My spouse is upset about what [From.GetSheHe] refers to as my unnecessarily harsh attitude towards [FromFrom.GetName] and [FromFrom.GetHerHis] decadent ways, and asks me to leave [FromFrom.GetHerHim] alone.
EVTOPTA91375	Everything for you, my love.	Everything for you, my love.
EVTDESC91376	My spouse came to me with shocking news. Apparently [FromFrom.GetTitledFirstName] has tried to seduce my beloved [From.GetHusbandWife] and turn [From.GetHerHim] against me.	My spouse came to me with shocking news. Apparently [FromFrom.GetName] has tried to seduce my beloved [From.GetHusbandWife] and turn [From.GetHerHim] against me.
