#CODE	ENGLISH	ENGLISH
vice_royalty_2_desc	Enables Kingdom and Duchy Viceroyalties.	Enables Kingdom and Duchy Viceroyalties.
duke_vice_royalties	Allows Kingdom and Duchy Viceroyalties	Allows Kingdom and Duchy Viceroyalties.
PLOT_POWER_DESC	A plot gains strength by having more powerful backers. Higher Plot Power will unlock more special plot decisions and events. Having your spymaster Build Spy Network at your plot target location will further increase your Plot Power.	A plot gains strength by having more powerful backers. Higher Plot Power will unlock more special plot decisions and events. Having your spymaster Build Spy Network at your plot target location will further increase your Plot Power.
LIEGE_ENDED_OTHER_WAR_PARTICIPATION_LOG	§Y$VASSAL$§! is no longer a participant in §YThe $VASSAL_WAR$§! as $PRONOUN$ liege §Y$LIEGE$§! joined §YThe $LIEGE_WAR$§! as §Y$SIDE$§!.	§Y$VASSAL$§! is no longer a participant in §YThe $VASSAL_WAR$§! as $PRONOUN$ liege §Y$LIEGE$§! joined §YThe $LIEGE_WAR$§! as §Y$SIDE$§!.
LIEGE_ENDED_OTHER_WAR_LOG	§YThe $VASSAL_WAR$§! has ended as §Y$LIEGE$§! joined §YThe $LIEGE_WAR$§! as §Y$SIDE$§!.	§YThe $VASSAL_WAR$§! has ended as §Y$LIEGE$§! joined §YThe $LIEGE_WAR$§! as §Y$SIDE$§!.
NOT_ANY_WAR_STARTS	No war	No war
not_under_attack	Not defender in a war	Not defender in a war
temple_king_pagan_group	King-Priest	King-Priest
EVTTITLE_CM_1402	The Rebellious [From.PrimaryTitle.GetRulerTitle]	The Rebellious [From.PrimaryTitle.GetRulerTitle]
EVTDESC_CM_1410	My [Root.GetLordLady], the treacherous [From.GetTitledName] has gone back on [From.GetHerHis] word and refused to aid you against the Umayyads!	My [Root.GetLordLady], the treacherous [From.GetTitledName] has gone back on [From.GetHerHis] word and refused to aid you against the Umayyads!
TRIBAL_VASSAL_LEVY_CONTROL_ON	Tribal vassals will now provide you with levies.\n	Tribal vassals will now provide you with levies.\n
TRIBAL_VASSAL_LEVY_CONTROL_OFF	Tribal vassals will no longer provide you with levies.\n	Tribal vassals will no longer provide you with levies.\n
TRIBAL_VASSAL_TAX_INCOME_ON	Tribal vassals will now provide you with taxes.\n	Tribal vassals will now provide you with taxes.\n
TRIBAL_VASSAL_TAX_INCOME_OFF	Tribal vassals will no longer provide you with taxes.\n	Tribal vassals will no longer provide you with taxes.\n
LIEGE_TAX_TRIBAL	Independent Tribal or Nomadic Rulers do not get taxes from their vassals	Independent Tribal Rulers do not get taxes from their vassals
CHRONICLE_WAR_WON	[From.GetTitledNameWithNick] won the war against [Root.GetTitledNameWithNick].	[From.GetTitledNameWithNick] won the war against [Root.GetTitledNameWithNick].
CHRONICLE_WAR_WHITEPEACE	[From.GetTitledNameWithNick] made peace with [Root.GetTitledNameWithNick].	[From.GetTitledNameWithNick] made peace with [Root.GetTitledNameWithNick].
CHRONICLE_WAR_LOST	[From.GetTitledNameWithNick] lost the war against [Root.GetTitledNameWithNick].	[From.GetTitledNameWithNick] lost the war against [Root.GetTitledNameWithNick].
