#CODE	ENGLISH
set_government_type	Government is changed to §Y$GOVERNMENT$§!\n
feudal_government	Feudal
republic_government	Republic
merchant_republic_government	Merchant Republic
theocracy_government	Theocracy
muslim_government	Iqta
tribal_government	Tribal
RETCAP_FROM_GOVERNMENT	From Government: $AMOUNT$\n
GOVERNMENT_CANNOT_CREATE_KINGDOMS	Theocracies, Holy Orders and Mercenaries cannot create kingdoms!
GOVERNMENT_CANNOT_USURP_KINGDOMS_AND_EMPIRES	Merchant Republics and Patricians cannot usurp kingdoms or empires
GAME_STATE_WAS_CORRUPTED	Game State is corrupted. Please restart the game.
TRIBAL_TAX	Tribal Tax
GOVERNMENT_CANT_BUILD_HOLDINGS	§R$GOVERNMENT$ rulers Cannot Build new Holdings§!
GOVERNMENT_NO_LIEGE_LEVY	Independent Tribal or Nomadic Rulers do not get liege levies from their vassal tribes
PLAYERS_IN_UNIT	Player Characters in Unit
PLAYERS_IN_ATTACKERS	Attacking Player Characters
YOU_IN_ATTACKERS	You are an attacker in this battle
PLAYERS_IN_DEFENDERS	Defending Player Characters
YOU_IN_DEFENDERS	You are a defender in this battle
destroy_title_interaction_LONG_DESC	Destroy this title.
usurp_title_interaction_TITLE	Usurp Title
usurp_title_interaction_LONG_DESC	Usurp this title.
create_title_interaction_LONG_DESC	Create this title.
make_primary_title_interaction_LONG_DESC	Make this your primary title.
make_capital_settlement_interaction_TITLE	Make Capital
make_capital_settlement_interaction_DESC	I can make this my capital.
make_capital_settlement_interaction_LONG_DESC	Make this Holding your capital.
WILL_CANCEL_OLD_PLOT	You can only have one Plot active at a time. Choosing a new Plot will cancel your current one.
WILL_CANCEL_OLD_AMBITION	You can only have one Ambition active at a time. Choosing a new Ambition will cancel your current one.
WILL_CANCEL_OLD_FOCUS	You can only have one Focus active at a time. Choosing a new Focus will cancel your current one.
alert_available_targetted_decision_instant	§YSpecial Character Actions Possible§!
alert_available_targetted_decision_delayed	The following Special Character Actions are available:\n$LIST$
alert_available_title_decision_instant	§YSpecial Title Actions Possible§!
alert_available_title_decision_delayed	The following Special Title Actions are available:\n$LIST$
alert_available_settlement_decision_instant	§YSpecial Holding Actions Possible§!
alert_available_settlement_decision_delayed	The following Special Holding Actions are available:\n$LIST$
FLANK_DAMAGE_FINAL	Final Damage Values: §Y$DAMAGE$§! Damage (£1£), §Y$MORALE_DAMAGE$§! Morale Damage (£2£)
TACTICAL_DISADVANTAGE	Penalty against §Y$TACTIC$§!: $PERC$
TOTAL_DEFENCE	Total Defence: §Y$DEF$§!
COMBATVIEW_TOTALTROOPS	Total Remaining Troops\n§GClick to show composition of Flanks§!
COMBATVALUES	$NAME$\nDamage (£1£): §Y$DAMAGE$§!\nMorale Damage (£2£): §Y$MORALEDMG$§!\nDefence (£3£): §Y$DEFENCE$§!
COMBATVALUES_SUBUNIT	Damage per Soldier: §Y$DAMAGE$§!\nDefence per Soldier: §Y$DEFENCE$§!\n\nTotal Damage: §Y$TOTAL_DAMAGE$§!\nTotal Defence: §Y$TOTAL_DEFENCE$§!
COMBATVIEW_FLANK_MORALE	Average morale in this flank: $MORALE$ (§Y+$DELTA$§W / week)\nTotal Morale: §Y$TOTAL_MORALE$§!
COMBATVIEW_MORALE	Average morale: §Y$MORALE$§W (§Y+$DELTA$§W / week)\nTotal Morale: §Y$TOTAL_MORALE$§!
FLANK_DESIGNER_SHOW_VALUES	Show Values
FLANK_DESIGNER_SHOW_TROOPS	Show Troops
convert_tribal_to_city	Upgrade to City
convert_tribal_to_city_named	Upgrade [Root.GetName] to a City
#convert_tribal_to_city_desc	I can upgrade [Root.GetFullName] to a proper City.
convert_tribal_to_castle	Upgrade to Castle
convert_tribal_to_castle_named	Upgrade [Root.GetName] to a Castle
#convert_tribal_to_castle_desc	I can upgrade [Root.GetFullName] to a proper Castle.
MODIFIER_TRIBAL_OPINION	Tribal Vassal Opinion
MODIFIER_UNREFORMED_TRIBAL_OPINION	Unreformed Pagan Tribal Vassal Opinion
UNREFORMED_TRIBAL_VIEW_ON_TRAIT	Unreformed Pagan Tribal view on $TRAIT$: $VALUE$
TRAIT_OPINION_UNREFORMED_TRIBAL	Unreformed Pagan Tribal Opinion: $VALUE$
TRIBAL_VASSAL_OPINION	Tribal Vassal Opinion
PROVINCE_HAS_NO_REGION	 This county does not belong to any region
PROVINCE_HAS_REGION_SELECT	Press §YLeft Click§W to select next region.
PROVINCE_HAS_REGION_DESELECT	Press §YRight Click§W to deselect region.
PROVINCE_HAS_REGION	This county belongs to the following regions:
FIND_PROVINCE	Find Title or Region
REGION_OF	Region of
HINT_DIPLO_VIEW_TITLE	The Diplomacy Menu
EVTDESC107104	You currently have one unhappy Vassal. You can find this Vassal by clicking on your portrait and open the 'Vassals' tab. Try to increase the Opinion of this Vassal to a positive number. You can increase the Opinion of your Vassals towards you in several ways, for example by giving them more land (but do try to hold as much land as your Demesne Limit allows!). You can also give them an Honorary Title, or send them a gift. All this can be done in the Diplomacy Menu.
EVTDESC107009	When you have found a good character to marry, right-click on their portrait to open the Diplomacy Menu. Here you may ask the Liege of your intended about the possibility of arranging a marriage. The Diplomacy Menu is the main way to interact with other characters. Go ahead and arrange the marriage!
EVTDESC107300	You now have a Claim and it's time to let slip the dogs of War! Click on Canarias province and right-click the Ruler Portrait in the County View. Select 'Declare War' in the Diplomacy Menu and the 'Claim Canarias' Casus Belli. Send the War Declaration.
#EVTDESC107301	Whenever you have Allies that can aid in your Wars, you will see an icon indicating this at the top of the screen. Clicking on this icon will open the Diplomacy Menu of your Allies, where you have the option to Call them to Arms, thus bringing them into your War (if they accept).
EVTDESC107326	You are now over your Vassal Limit, meaning you have more Vassals than you can control. Your Vassals will then give you reduced Taxes and Levies, and you might even lose some Vassals when you die and your Heir takes over. In the long term you can increase your Vassal Limit by increasing your Diplomacy, but in the short term you can Transfer Vassalage so that you have fewer Direct Vassals. You can do this by clicking on the character you want to give Vassals to, and open their Diplomacy Menu. The target character must be of a higher tier than the Vassal you wish to give away.
EVTDESC107334	One of your children is now old enough to be Tutored by a Guardian. By opening your Diplomacy Menu you can select the 'Educate Child' option. A Guardian will be automatically suggested, but feel free to click on the suggested Guardian in order to choose another one if you wish. You will want a Guardian with good Traits and Attributes, or use this opportunity and let a Vassal that dislike you to get the honor of becoming the Guardian of your child.
EVTDESC107325	You are now over your Demesne Limit, meaning you have more Holdings than is seemly for you to rule personally. Your Vassals will dislike you for being over this limit, so you need to do something about it, and soon! In the long term, you can increase your demesne limit by increasing your Stewardship Attribute (and your wife's), but in the short term you need to give some of your Titles to your Vassals. You can do this by clicking on the character you want to give Titles to, and open their Diplomacy Menu. Look in the Character Finder or in the Court Tab in your Character View to find suitable characters.
EVTDESC107310	You are now ready to make Peace. To do this, click on the War icon in the bottom right of the screen. You can also right-click the portrait of the character you are fighting and open their Diplomacy Menu.
PART_OF_REGION	Part of $REGION$ region
NOT_PART_OF_REGION	Not part of $REGION$ region
SPAWN_UNIT_EFFECT_REINFORCE_RATE	Reinforce Speed: §Y$RATE$§!%
SPAWN_UNIT_EFFECT_MAINTENANCE_FREE	Maintenance Free
SPAWN_UNIT_EFFECT_NON_REINFORCING	Non Reinforcing
SPAWN_UNIT_EFFECT_FORCED_LOOTING	These troops will always be raiding.
TOGGLE_LOOTER_FAIL_FORCED_LOOT	 Unit is not forced to raid
HorseLordsDLC	Horse Lords
SETTLE_ADVENTURER_INTERACTION_TITLE	Settle Adventurer
SETTLE_ADVENTURER_INTERACTION_DESC	Grant a landed title and settle the adventurer
SETTLE_ADVENTURER_INTERACTION_LONG_DESC	Grant one of your landed titles to settle an adventurer. This will significantly improve their opinion of you. Settling an adventurer will stop them from raiding you, and the adventurer will also prevent other raiders from attacking for a long time.
SETTLE_ADVENTURER_INTERACTION_0	Select a title to grant to §Y[Recipient.GetTitledFirstName]§W.
