#CODE	ENGLISH
ONLY_ONE_TRIBAL	Only one tribe can live in each county.
#HT_HONORARY_TITLES	Honorary Titles
#HT_SHOW_HONORARY_TITLES	Show Honorary Titles
#HT_SHOW_COMMANDERS	Show Commanders
INTERACTION_INVALID_CB	Valid Casus Belli
lappish	Sami
d_lappish_band	Sami Band
d_lappish_band_adj	Sami
IRONMAN_MODE_CHECKSUM_DESC	The game data files have been altered in some way, disabling achievements in Ironman mode. Check so you don't have a mod loaded or verify your game files. Using the Ruler Designer will also disable achievments.
NAND_TRIGGER_STARTS	All of the following must NOT be true
MATCHMAKING_SERVER_DENIED	Denied
PROVINCE_EXTEND	Extend
CONFIRM_BUILD_EXTRA_HOLDING_TITLE	Build $TYPE$
CONFIRM_BUILD_EXTRA_HOLDING_DESC	Are you sure you want to build a $TYPE$?\nIt will cost you §Y$COST$§!¤ and will be finished on §Y$FINISHED$§!
GOVERNMENT_ALLOWS_BUILDING	§Y$GOVERNMENT$§! Government allows building §Y$TYPE$§!
CONTROLS_PROVINCE	Controls §Y$PROVINCE$§!
EXTRA_HOLDING_UNDER_CONSTRUCTION	$TYPE$ under construction by §Y$BUILDER$§!\nWill be finished on §Y$DATE$§!
BUILD_EXTRA_HOLDING	§YBuild a new $TYPE$§!
NO_EXTRA_HOLDING_BUILT	No $TYPE$ Built
EXTRA_HOLDING_UNDER_CON	$TYPE$ Under Construction
CREATE_EXTRA_HOLDING_EFFECT	Creates a $TYPE$ in $LOCATION$
NOMAD_TAX_MODIFIER	Nomad Tax
FROM_FORTS	From Forts: §G$AMOUNT$§!\n
DESTROY_EXTRA_HOLDING_EFFECT	The $TYPE$ in $LOCATION$ is destroyed
SEIZE_EXTRA_HOLDING_EFFECT	§Y$TAKER$§! seizes the §Y$PROV$§! $TYPE$
ANY_FORT_STARTS	Any Fort
num_fort_diff_lower_than	Difference between §Y$FIRST$§! and §Y$SECOND$§!'s Forts lower than §Y$VAL$§!
num_fort_diff_at_least	Difference between §Y$FIRST$§! and §Y$SECOND$§!'s Forts at least §Y$VAL$§!
has_fewer_fort_than	Has fewer than §Y$NUM$§! Forts
has_more_fort_than	Has at least §Y$NUM$§! Forts
HAS_EXTRA_HOLDING	Has $TYPE$
HAS_NOT_EXTRA_HOLDING	Does NOT have $TYPE$
TRIGGER_FORT_OWNER	Fort Owner
FORT_PROV	Fort of $PROV$
strengthened_loyalty	Strengthened Loyalty
proud_parent	Proud Parent
wolf_child	Wolf Child
wolf_child_desc	There is something strange about this child...
wolf_blood	Wolf's Blood
wolf_blood_desc	This character is rumored to have the blood of wolves running through [GetHerHis] veins.
sleep_deprivation	Not Sleeping Well
sleep_deprivation_desc	This character isn't getting much sleep lately.
EVTTITLE_HL_1001	The Wolf Child
EVTDESC_HL_1001	Little [From.GetFirstName] has been growing quickly. [From.GetSheHeCap] is alert and quick to learn, strong and healthy. [From.GetHerHisCap] voice is a little unusual, however, often descending to deep but playful growl. [From.GetSheHeCap] often sniffs around in an odd manner while looking for [From.GetHerHis] toys, and yes, [From.GetSheHe] is unusually hairy.\n\n[From.GetSheHeCap] has also several times bit [From.GetHerHis] nanny. But apart from that, everything is normal.
EVTOPTA_HL_1001	A fine little [From.GetBoyGirl]!
EVTOPTB_HL_1001	This is strange and worrying...
EVTDESC_HL_1010	You are out inspecting your lands, accompanied by your best soldiers. As you pass through a shallow gorge lined by low, windswept trees, you are suddenly alerted to an unusual sound. You order the column to halt and cock your head to listen. Yes, you hear it now, a thin wailing sound, as if from a puppy dog…\nYou spur your horse forward to try and locate the source of the sound, and soon you come upon a small cave. As you enter, bringing a light into the gloom within, you see a strange sight. A dead female wolf lies near the cave entrance, traces of disease plainly visible on her carcass. A small human child lies on a bed of grass and leaves near the wolf, wailing in a strange tone that seems almost animal-like to you in this strange place...
EVTOPTA_HL_1010	I shall take this child in as my own [New.GetSonDaughter].
EVTOPTB_HL_1010	I will have nothing to do with this!
