#CODE	ENGLISH
INTERACTION_CANNOT_INVITE_MARRIED	[Recipient.GetTitledFirstName] must not be married
INTERACTION_CANNOT_INVITE_CONSORT	[Recipient.GetTitledFirstName] must not be a concubine
AIREASON_LOVER	§Y[GetTitledFirstName]§! is my Lover
AIREASON_FRIEND	§Y[GetTitledFirstName]§! is my Friend
AIREASON_WITH_LOVER	Wants to stay with lover - §Y[GetTitledFirstName]§!
MODIFIER_SAME_RELIGION_OPINION	Same Religion
PV_FORT	Fort
PV_TRADE_POST	Trade Post
adopt_wolf_child	The child is adopted with full right of inheritance.
EVTTOOLTIP89008	Is informed of the murder attempt.
claim_on_vassal_plot_desc	§Y$CLAIMANT$§! is trying to revoke the title of §Y$TITLE$§!, which has resulted in an armed conflict with §Y$TARGET$§!
EVTOPTC63011	This seems fishy. I should notify the supposed 'plotter'.
werewolf_howling_tooltip	Howling at the moon all through the night.
werewolf_swimming_tooltip	Sleeping outside, all wet..
SENTIMENT	Sentiment:
#SENTIMENT_OF	Sentiment of
GRAZING_LAND	Need more grazing land
CLAN_OPINION	Clan sentiment
MARRIAGE_TIES	Marriage ties
WEAK	Weakness
TOO_MUCH_COMPETITION	Too much competition
CREATE_FEUD	$ACTOR$ and $RECIPIENT$ will be dragged into a feud
opinion_built_temple	Built Temple
FORM_BLOOD_OATH_INTERACTION_TITLE	Form a Blood Oath
#FORM_BLOOD_OATH_INTERACTION_DESC	Swearing a blood oath between these two clans will make them become as if one. You swear to defend each other and for all time be allies in war and brothers in peace. Be careful however as you can only have one other clan as your blood-sworn brother.
#FORM_BLOOD_OATH_INTERACTION_LONG_DESC	Swearing a blood oath between these two clans will make them become as if one. You swear to defend each other and for all time be allies in war and brothers in peace. Be careful however as you can only have one other clan as your blood-sworn brother.
INTERACTION_NO_BLOOD_BROTHER	§Y$CLAN$§! can't already have a Blood Brother
HAS_BLOOD_OATH_WITH	Has a Blood Oath with §Y$CLAN$§!
NOT_HAS_BLOOD_OATH_WITH	Do not have a Blood Oath with §Y$CLAN$§!
declare_feud	Declare Feud
#declare_feud_desc	Declare a feud between your clan and another.
opinion_feud	Feud
BLOOD_BROTHER	Blood Brothers
EVTDESC505	I swear to you that we shall be bonded by blood as brothers!
EVTDESC506	I do not accept your offer of blood oath.
INTERACTION_CANT_DOW_BLOOD_BROTHER	Must not be a blood brother
EVTNAMEHL6	The [From.Clan.GetName] Feud
EVTDESCHL6	[From.GetBestName] and his people have hunted on our lands, stolen our sheep and kidnapped our women. This even though they know very well the boundaries between our clans! They truly are despicable and would betray us instantly if given the chance.
EVTOPTAHL6	Beware the [From.Clan.GetName]. They are without honor.
SHOW_OPINION	§YInspect Clan Standings§!
TOTAL_POPULATION	Total Population:
FEUD	Feud
FEUD_BLOOD_BROTHER	Feud with Blood Brothers
CLAN_LEADER_HAS_NO_JOB	Is not a Councillor
PRESTIGE	Prestige
FEUD_CLAN_LEADER_HAS_JOB	 is a Councillor
EVTNAMEHL10	Death of a brother
EVTDESCHL10	With the death of [From.GetBestName] our blood oath with his family and our obligation to his people vanishes together with his life.
EVTOPTAHL10	A sad day for the [Root.Clan.GetName]...
EVTDESC_HL_10700	[From.GetFirstName] has spent his hard earned wealth on attracting and recruiting more soldiers for his mercenary band.
EVTOPTA_HL_10700	A good investment I hope.
EVTDESC_HL_10701	[From.GetFirstName] has spent his hard earned wealth on carousing with his men, wasting it on spirits and women
EVTOPTA_HL_10701	A good family tradition.
alert_inefficent_land_management_instant	§YInefficient Land Management§!
alert_inefficent_land_management_delayed	You have too many holdings in your personal demesne. As a nomad you can only have one holding without penalties. However you might want to keep the land yourself so you can pillage it...$LIST$
plot_gain_title_short	Plot to Acquire
plot_gain_vassal_title_short	Plot to Revoke
plot_kill_character_short	Plot to Kill
plot_kill_spouse_short	Plot to Kill
plot_gain_liege_title_short	Plot for Claim
plot_gain_fellow_vassal_title_short	Plot for Claim
MAKE_PRIMARY	Make Primary
