#CODE	ENGLISH
horse_regret	Saved Instead of Favorite Horse
EVTDESC_HL_6000	You go out into the herd to choose a strong and powerful warhorse. You look around with expert eyes and eventually spot a steed that stands out from the rest. It is strong and has a powerful bearing.\n\nAs you mount your new steed, you feel certain that you have made the right choice. All that remains now is to give it a suitable name - what shall it be?
EVTOPTA_HL_6000	Dragon.
EVTOPTB_HL_6000	Sky.
EVTOPTC_HL_6000	Arrow.
EVTOPTD_HL_6000	Lightning.
EVTDESC_HL_6010	Your ward, [ward_cant_ride.GetFirstName], is almost eight years old now and still cannot ride a horse properly. It is truly a disgrace.
EVTOPTA_HL_6010	This will not do! I shall teach [ward_cant_ride.GetHerHim] personally.
EVTOPTB_HL_6010	What a useless child. Let [ward_cant_ride.GetHerHim] flounder.
EVTTITLE_HL_6020	The River Crossing
EVTDESC_HL_6020	Traveling from one of your camps to the next, you come upon a river. Rains have made it swell and the rapids are strong and violent. The way around is too long, however, so you must cross. You watch with concern as the party gingerly begins to descend into the churning waters. [spouse_danger_nomad_river_crossing.GetFirstName], your [spouse_danger_nomad_river_crossing.GetHusbandWife], crosses riding your favorite horse.\n\nYou are watching from the bank as it suddenly happens... [spouse_danger_nomad_river_crossing.GetFirstName] loses control in the strong rapids and falls off the horse as it loses its footing, and both of them are grabbed by the strong current. You realize that you only have a moment to react before they are swept away, you cannot save them both...
EVTOPTA_HL_6020	I must save [spouse_danger_nomad_river_crossing.GetFirstName]!
EVTOPTB_HL_6020	I must save Dragon!
EVTOPTC_HL_6020	I must save Sky!
EVTOPTD_HL_6020	I must save Arrow!
EVTOPTE_HL_6020	I must save Lightning!
EVTDESC_HL_6021	You managed to pull [spouse_danger_nomad_river_crossing.GetFirstName] out of the river. You lost your favorite horse, but your [spouse_danger_nomad_river_crossing.GetHusbandWife] is safe. [spouse_danger_nomad_river_crossing.GetSheHeCap] is terrified but overjoyed at the narrow escape and your brave rescue.
EVTOPTA_HL_6021	I am glad [spouse_danger_nomad_river_crossing.GetSheHe]'s safe.
EVTOPTB_HL_6021	Alas, I lost Dragon...
EVTOPTC_HL_6021	Alas, I lost Sky...
EVTOPTD_HL_6021	Alas, I lost Arrow...
EVTOPTE_HL_6021	Alas, I lost Lightning...
EVTDESC_HL_6022	You managed to pull [spouse_danger_nomad_river_crossing.GetFirstName] out of the river. Once safe, [spouse_danger_nomad_river_crossing.GetSheHe] stands up, dripping wet and shivering, and curses you: 'You imbecile! I would have been fine! How could you let that fine horse drown?'
EVTOPTA_HL_6022	I, too, now question my decision.
EVTDESC_HL_6030	One of your loyal retinue warriors has approached you with a petition for aid. He says his family lost several of their mares to illness and now they are struggling to feed their children.
EVTOPTA_HL_6030	You shall have six mares from my personal herd.
EVTOPTB_HL_6030	Unfortunate, but I cannot help you.
feudal_government_desc	Feudal government revolves around the oath between liege and vassal, and Feudal lords can only directly own so many Holdings before they must start to rely on vassals - whose loyalty may vary... There are several Succession Laws to pick between - each with its own merits. The Centralization Law controls the maximum size of your Demesne and the number of direct vassals you can have. If you should convert to a religion in the Muslim group, your government form will change to Iqta.
muslim_government_desc	The Arabic Iqta system is similar to the Feudal system - rulers must rely on land holding vassals of varying loyalty and ambition. The maximum number of vassals and the number of Holdings you can directly own are controlled by the Centralization Law. However, there is only one form of Succession available - the chaotic 'Open' type, where the son with most land inherits. If you should convert to a non-Muslim religion, your government form will change to Feudal.
opinion_nomad_wargames_participant	Participated in Wargames
hold_nomad_wargames	Hold Wargames
hold_nomad_wargames_desc	I can invite warriors of my realm to compete in games of martial skill - horsemanship, archery and swordsmanship. There will be gold as well as prestige in it for the winner.
holding_nomad_wargames	Holding Wargames
holding_nomad_wargames_desc	This ruler is hosting a traditional competition in martial skills.
held_nomad_wargames	Held Wargames
held_nomad_wargames_desc	This character has recently hosted a traditional competition in martial skills, thus honoring ancient values and martial traditions.
EVTDESC_HL_7000	You have decided to organize a great competition in martial skills, inviting warriors from across the realm to display their prowess with horse, bow and sword.
EVTOPTA_HL_7000	It will be a great contest.
EVTDESC_HL_7001	To my faithful warrior [Root.GetDynName],\n\nI shall expect your presence at the upcoming wargames that will be held at [From.Capital.GetName]\n\n[From.GetFullName]
EVTOPTA_HL_7001	I will saddle my horse now!
EVTDESC_HL_7002	Dear [Root.GetTitledFirstName],\n\nUnfortunately I cannot attend the upcoming wargames.\n\n[From.GetTitledName]
EVTDESC_HL_7020	Warriors have come to your court from afar, gathering for the great wargames. The impatient stomping of horses accompanies the excited cries from the spectators. As the participants salute you, you give the signal for the contest to begin.
EVTOPTA_HL_7020	The best warrior shall win!
EVTDESC_HL_7025	You have arrived at the court of the [From.PrimaryTitle.GetRulerTitle] for the wargames. The impatient stomping of horses accompanies the excited cries from the spectators. As you salute [From.GetTitledFirstName], [From.GetSheHe] gives the signal for the contest to begin.
EVTOPTA_HL_7025	I shall give it my best!
EVTDESC_HL_7055	Your skill with horse, bow and sword unmatched on this day, you have won the games! [From.GetTitledFirstName] presents you with your well-earned prize.
EVTOPTA_HL_7055	I knew I would win!
EVTDESC_HL_7060	[From.GetFullName] has won the wargames, [From.GetHerHis] martial skills unmatched.
EVTOPTA_HL_7060	A worthy winner.
FORT_CONTROL_OVER_PROVINCE	Controls or Besieges §Y$PROVINCE$§!
TRIGGER_SUZERAIN	Suzerain
FORT_CONSTRUCTION_ABANDONED_SETUP	Fort Construction Lost
FORT_CONSTRUCTION_ABANDONED_LOG	The Fort under construction by §Y$BUILDER$§! in the hostile county of §Y$PROV$§! has been abandoned.
#BUILD_FORT_DESC	Forts can be built in all counties you control, and in hostile counties where you have troops present. Forts cost §Y$COST$§!¤ to construct and can be upgraded to regular Castle Holdings (by §GRight-Clicking the Fort§!). Forts lock down your occupation of empty nomad provinces and negate the crushing Attrition enjoyed by certain Pagan tribes in their homelands.
succ_nomad_succession_desc	Under Nomad Succession, the son or brother with the most Prestige normally inherits, but prestigious Clan leaders also stand a chance if their Population is bigger than the Khagan's. Wrong-culture characters are disqualified and adults have precedence over children. If the Khagan's primary heir is still a child, the Khaganate is lost to one of the Clan chiefs. Clan chiefs with more Prestige than the heir get Claims on the Khaganate.
CLAN_LIMIT_FORMULA	§YNumber of Clans§!
COUNTIES_PER_CLAN	Desired Counties per Clan
MAX_NR_OF_CLANS	Max Number of Clans
CURRENT_CLANS	Current Clans
POPULATION_BREAKDOWN	Current Population Breakdown
STAT_POPULATION_DESC	This is the nomadic population of your realm. Each month, it will increase or decrease towards your §YMaximum Population§!, which is determined by the number of empty holdings in the counties you personally hold. The current §YPopulation§! is used to calculate your §YMaximum Manpower§!, and is also along with §YUnused Manpower§! used to calculate your monthly §YNomadic Tax§!.
POPULATION_DIFFERENCE	Potential Population Growth: §Y$AMOUNT$§!
POPULATION_GROWTH_RATIO	Monthly Population Growth Percentage: §Y$AMOUNT$%§!
MANPOWER_DIFFERENCE	Potential Manpower Growth: §Y$AMOUNT$§!
MANPOWER_GROWTH_RATIO	Monthly Manpower Growth Percentage: §Y$AMOUNT$%§!
INTERACTION_CANNOT_ATTACK_VASSALS	You cannot attack your vassals with this Casus belli
tut_5a_23	Click the button to create a new unit. You can reorganize the selected unit and the newly created unit by dragging subunits from one unit to another.
tut_5a_16	To the right you can see a tab named Fleet Levies. Click on it and you will see buttons for raising fleets instead of army levies. Raise the fleet of your vassal the Earl of Fife and move them to Gowrie as well.
#LAND_OF_CLAN	§YProvinces held by Clan $CLAN$§!
TECH_CAN_SPREAD	Technology can spread
NOT_TECH_CAN_SPREAD	Technology can NOT spread
TR_SILK_ROAD_1_OTHER_PROVINCES_CONDITION	No other Silk Road Province within a distance of §Y100§! contains a §YSilk Road Trade Post§!, §YSilk Road Market§! or §YMajor Silk Road City§!.
TR_SILK_ROAD_2_OTHER_PROVINCES_CONDITION	No other Silk Road Province within a distance of §Y200§! contains a §YSilk Road Market§! or §YMajor Silk Road City§!.
TR_SILK_ROAD_3_OTHER_PROVINCES_CONDITION	No other Silk Road Province within a distance of §Y500§! contains a §YMajor Silk Road City§!.
MONTHLY_POPULATION_GROWTH	Monthly Population Growth
MONTHLY_POPULATION_DECLINE	Monthly Population Decline
MAXIMUM_CIVILIAN_POPULATION	Maximum Population
STAT_MANPOWER_DESC	Manpower is an important part of a nomadic realm, as it is used both to recruit hordes and to reinforce them. Each month, it will increase or decrease towards your §YMaximum Manpower§!, determined by the current §YPopulation§!. You cannot recruit hordes to go above this limit, and you should make sure you have enough §YUnused Manpower§! to reinforce your horde when needed. Your §YUnused Manpower§! is also part of the calculation of your monthly §YNomadic Tax§!, along with the §YPopulation§!. Additionally, your §YUnused Manpower§! will contribute to the strength of the §YGarrison§! in your capital.
POPULATION_AND_MANPOWER_OF	§YPopulation and Manpower of Clan $CLAN$§!
NOMAD_LAND_OVERRUN_GENERIC_DESC	If the Khagan holds too much land compared to the other Clans, it will affect their §YClan Sentiments§!, and there might even be risk of a §YMinor Clan Rising§! revolt, in which a minor clan rises and attempts to seize its rightful position among the major Clans...
RETINUE_COST	Retinues: §R-$VALUE$§!
INTERACTION_NOT_AT_MAX_CLAN_SIZE	Has not reached the Maximum Clan Size
HORDE_RETTYPE_CAV1	Light Rider
HORDE_RETTYPE_CAV2	Marauder
HORDE_RETTYPE_CAV3	Skirmish Cavalry
HORDE_RETTYPE_CAV4	Light Horse Archer
HORDE_RETTYPE_CAV5	Light Vanguard
HORDE_RETTYPE_CAV6	Heavy Vanguard
HORDE_RETTYPE_CAV7	Horse Archer
HORDE_RETTYPE_EUROPE	Lancer
RELIGION_ALLOWS_FEMALE_TEMPLE_HOLDERS	The religion of §Y$CHAR$§! allows female temple holders and female spiritual councillors
RELIGION_NOT_ALLOWS_FEMALE_TEMPLE_HOLDERS	The religion of §Y$CHAR$§! does NOT allow female temple holders or female spiritual councillors
HAS_LOWER_POPULATION_AND_MANPOWER_THAN	Have lower Population and Manpower than 
HAS_HIGHER_POPULATION_AND_MANPOWER_THAN	Have higher Population and Manpower than 
HAS_LOWER_POPULATION_AND_MANPOWER_GROWTH_THAN	Have lower Civilian Population Growth than 
HAS_HIGHER_POPULATION_AND_MANPOWER_GROWTH_THAN	Have higher Civilian Population Growth than 
HAS_LOWER_MAX_POPULATION_AND_MANPOWER_THAN	Have lower Max Population and Manpower than 
HAS_HIGHER_MAX_POPULATION_AND_MANPOWER_THAN	Have higher Max Population and Manpower than 
POPULATION_EFFECT	$DIRECTION$ $VALUE$ Population.\n
IS_COUNTY_OWNER	Is county owner
TT_NOT_SAME_REALM	Is NOT in own realm
PROVINCE_DISTANCE	Distance to §Y$PROV$§!: §Y$DIST$§!
NOMAD_CONVERSION_TROOP_SPAWN	Your horde troops will be disbanded and you will instead gain troops proportional to the land you're abandoning on the steppe.\n
