#CODE	ENGLISH
CONVERTING	CONVERTING
opinion_humiliated_family	Humiliated Family
opinion_humiliated_close_kin	Humiliated Close Kin
gov_mercenary	Mercenary Band
RULE_NOMAD_STABILITY	§BHorse Lords:§! Nomad Stability
RULE_OPTION_NOMAD_STABILITY_UNSTABLE	Unstable
RULE_OPTION_NOMAD_STABILITY_UNSTABLE_DESC	Upon succession of the Khagan, vassals of Nomadic hordes have a chance to declare independence. The succeeding ruler will have just cause to reclaim the land.
RULE_OPTION_NOMAD_STABILITY_STABLE	Stable
RULE_OPTION_NOMAD_STABILITY_STABLE_DESC	Nomad vassals will NOT have the opportunity to go independent on succession of the Khagan.
RULE_DE_JURE_REQUIREMENT	De Jure Requirement
RULE_DE_JURE_REQUIREMENT_DEFAULT_DESC	Titles with De Jure land will be kept regardless of the circumstances.
RULE_OPTION_DE_JURE_REQUIREMENT_REQUIRED	Required
RULE_OPTION_DE_JURE_REQUIREMENT_REQUIRED_DESC	Titles with De Jure land will eventually be destroyed if a character holds no De Jure land of the title within their realm.
EVTDESC_GR_1	As you hold no De Jure land within the [title_to_destroy.GetTier] of [title_to_destroy.GetName] you can no longer rightfully claim to be its ruler. You are now regarded as a mere claimant to a throne outside your reach.
EVTOPTA_GR_1	But [title_to_destroy.GetName] was to be mine!
EVTDESC_GR_11	The tumultuous death of [From.GetFullName] presents an excellent opportunity for us to declare our independence. Of course, [nomadic_heir.GetFullName] might strike at us with vengeance for defying [nomadic_heir.GetHerHis] rule...
EVTOPTA_GR_11	No, we shall stay loyal.
EVTOPTB_GR_11	We are masters of our own destiny!
EVTDESC_GR_12	My former subject, [From.GetFirstName], has chosen independence from my rule.
EVTOPTA_GR_12	I shall have their heads!
RULE_SUPERNATURAL_UNRESTRICTED_DESC	AI rulers will be eligible to receive supernatural events such as the Demon Child, Wolf's Blood and Immortality event chains.
EVTDESC_NE_1	[invited_character.GetFullName] has arrived at your court, ready for employment.
EVTOPTA_NE_1	I shall make [invited_character.GetFirstName] a commander.
EVTOPTB_NE_1	[invited_character.GetFirstName] is not what I asked for, begone!
RULE_OPTION_DELAYED_RANDOM	Delayed Random
RULE_MONGOL_INVASION_DELAYED_RANDOM_DESC	The Mongol Horde will invade at a random date, though at the earliest at the year 1000, and 50 years after the game has started.
RULE_AZTEC_INVASION_DELAYED_RANDOM_DESC	The Aztec Invasion will occur at a random date, though at the earliest at the year 1000, and 50 years after the game has started.
RIP.30300.title	Rumors of an Immortal
RIP.30300.title.b	A scrawled letter arrives
RIP.30300.d.highlander	Word has reached you that there is another Immortal, Ramirez, who is seeking you out. This Spaniard has heard of your Immortality and has vowed to put it to an end. While his motivations are unknown, his intentions appear clear and it is only a matter of time until he finds you.
RIP.30300.d.evildude	Word of a monstrous man has reached you. This sadistic creature, known as Uran, is also Immortal and has dedicated his long life to inflicting cruelty upon others in the most terrible ways he can imagine. Rumors say his cruelty is only outmatched by his all-consuming jealousy, and hearing of another Immortal has driven him into a frothing rage. If these rumors are to be believed, he is certain track you down and attempt to kill you sooner rather than later...
RIP.30300.d.goodguy	Of late you have been hearing tales of another Immortal, Arthur. This man, this paragon of goodness, seems to have devoted his life to helping others and righting wrongs. It seems like a dull life, but everyone needs a hobby you suppose. You have never considered yourself a bad sort, perhaps a little boisterous at times, but Arthur seems to have some kind of grudge against you. Phrases such as 'ending the reign of terror' and 'stopping the unending bloodshed' have been bandied about. It all seems very excessive.
RIP.30300.d.shieldmaiden	Bards sing of a Shieldmaiden named Torhild, or perhaps she is a Valkyrie walking the earth. Regardless, it is said she is another Immortal and that she thrives on battle. In the most popular ballad she fights her greatest duel against an immortal man named Caine, and after her victory she weeps because she will never again find such a worthy foe. If these tales are true, she may well seek you out and challenge you to a duel.
RIP.30300.d.horse	While the penmanship is atrocious you notice that, curiously, the word-choice indicates a fairly intelligent writer:\n'I do not appreciate imitators, especially in such a blatant display which could draw attention to all of our kind. I am coming for you. You cannot outrun me. I shall burn your city to the ground, it won't be the first I have destroyed. I shall lay waste to your people and trample your legacy into the dirt, as I have done before to greater men. History will view you as a lunatic who destroyed themselves through pride and folly. Await me in terror.'\nThe letter is not signed.
RIP.30300.a	Bring them on!
RIP.30300.b	I don't like the sound of this!
RIP.30300.c	It's not as if I flay people. Often.
RIP.30301.title	Your Rival has found you!
RIP.30301.d.highlander	As you step out your rooms you barely have time to wonder where your guards are before you are confronted by [immortal_rival.GetFirstName]\n'Your life ends now!' he shouts, raising his sword.
RIP.30301.d.evildude	As you step out your rooms you barely have time to wonder where your guards are before you are confronted by [immortal_rival.GetFirstName]\n 'Time to die, you [GetFromRootInsult]!' he growls, hefting his sword.
RIP.30301.d.goodguy	As you step out your rooms notice the odd absence of your guards for a moment before [immortal_rival.GetFirstName] steps out in front of you.\n'It is time to bring an end to you,' he says, somewhat sadly, 'make your peace with your god.'
RIP.30301.d.shieldmaiden	The hallway is deserted of everyone except an armored women you suspect is [immortal_rival.GetFirstName]. Your suspicions are confirmed when she introduces herself and challenges you to a duel.
RIP.30301.d.horse	The corridor is splatted with blood and the bodies of your guards lie broken and trampled everywhere you look. A massive horse stands in the midst of the slaughter, steam rising from his flanks. You notice the mangled body of [immortal_horse_victim.GetBestName] by his hooves.\n'I am Incitatus, trampler of nations!' he announces 'I brook no imitations. You're next.'
RIP.30301.d.horse2	The corridor is splatted with blood and the bodies of your guards lie broken and trampled everywhere you look. A massive horse stands in the midst of the slaughter, steam rising from his flanks. You notice the mangled body of [immortal_horse_victim.GetBestName] by his hooves.\n'I am Incitatus, trampler of nations!' he announces 'I herd you had put a horse on your council, but it seems I was misinformed. Nonetheless, you're next.'
RIP.30302.d	Without hesitation you tear your sword from its sheath and leap to the attack. [immortal_rival.GetFirstName] seems startled by the ferocity of your onslaught is barely able to parry your first few blows. You feign a small overextension of your thrust and [immortal_rival.GetSheHe] takes the bait: As [immortal_rival.GetSheHe] attempt a counter-attack your blade snaps down and takes [immortal_rival.GetHerHis] hand clean off at the wrist. Before [immortal_rival.GetSheHe] can do more than gasp at the sudden pain your sword whips up and around, slicing [immortal_rival.GetHerHis] head from [immortal_rival.GetHerHis] shoulders.
RIP.30302.a	All too easy, [immortal_rival.GetFirstName]!
RIP.30303.d	Overcoming your brief surprize, you snatch a dagger from your belt and launch yourself at [immortal_rival.GetFirstName]! [immortal_rival.GetSheHe] appears to be startled by the speed of your assault, but manages a hasty block and counter-attack. However, they are completely unprepared for you catching [immortal_rival.GetHerHis] blade in your free hand and plunging your dagger into [immortal_rival.GetHerHis] wide-open eye.
RIP.30303.a	Another victory, another scar.
RIP.30304.d	As [immortal_rival.GetFirstName] rushes towards you with [immortal_rival.GetHerHis] sword held high. You barely have time to draw your own dagger and launch a desperate thrust as [immortal_rival.GetSheHe] it swings down at you. Your knife pierces [immortal_rival.GetHerHis] heart at the same time as [immortal_rival.GetHerHis] blade cuts into your flesh.
RIP.30304.a	Urgh... Still alive. Still alive!
RIP.30305.d	You fumble for your sword as [immortal_rival.GetFirstName] charges at you, blade hissing towards your face. Somehow you manage to parry [immortal_rival.GetHerHis] first blow, and then [immortal_rival.GetHerHis] second, but you know you are out-matched. Desperately you launch a flurry of blows, but all of a sudden there is a flash of steel coming at you and your vision begins to spin.
RIP.30305.a	???
RIP.30306.d	With a sudden jolt your vision clears. For a moment, before darkness closes over you, you are puzzled to see [immortal_rival.GetFirstName] standing over a headless body. You briefly wonder where it came from.
RIP.30306.a	...
#sea_queen is just a gender swap of seaking, so much of that translation may apply:	
sea_queen	Sea Queen
