#CODE	ENGLISH
#REMEMBER TO ADD TO MONKSANDMYSTICS.CSV	#REMEMBER TO ADD TO MONKSANDMYSTICS.CSV
GROUP_1	1
GROUP_2	2
GROUP_3	3
GROUP_4	4
NUDGE	Nudge
PLUS	+
PLUS_PLUS	++
MINUS	-
MINUS_MINUS	--
UP_ARROW	^
DOWN_ARROW	v
LEFT_ARROW	<
RIGHT_ARROW	>
ZERO	0
NUDGE_X_TITLE	x:
NUDGE_Z_TITLE	z:
no_siege_offense_tactic	No Tactic
no_siege_defense_tactic	No Tactic
opinion_granted_other_emperor_vice_royalty	Feudal opinion of granted Viceroyalties
opinion_granted_other_king_vice_royalty	Feudal opinion of granted Viceroyalties
opinion_granted_other_duke_vice_royalty	Feudal opinion of granted Viceroyalties
opinion_granted_other_count_vice_royalty	Feudal opinion of granted Viceroyalties
opinion_granted_other_baron_vice_royalty	Feudal opinion of granted Viceroyalties
clan_opinion_feud	Feud
clan_opinion_feud_blood_brother	Feud with Blood Brothers
clan_opinion_no_job	Is not a Councillor
clan_opinion_feud_leader_has_job	$WHO|Y$ is a Councillor
clan_opinion_blood_oath	Blood Brothers
PEACE_ENFORCE_NOT_ON_COOLDOWN_NO_DATE	§YRealm Peace§! has not been used in the last §Y$YEARS$ years§!.
quest_secret_religious_societies_sympathy_ruler_fallback	Evoke the Sympathy of a Ruler
tribal_wrong_religion_group_modifier	Wrong Religion
tribal_wrong_religion_reformed_modifier	Wrong Religion
tribal_wrong_religion_modifier	Wrong Religion
tribal_wrong_culture_group_modifier	Wrong Culture
tribal_wrong_culture_modifier	Wrong Culture
capital_county_independent_holder	Capital County
capital_county_vassal_count	Capital County
capital_county_vassal	Capital County
capital_duchy_independent_holder	Capital Duchy
capital_duchy_vassal	Capital Duchy
capital_kingdom	Capital Kingdom
capital_empire	Capital Empire
outside_capital_empire	Outside Capital Regions
EQUIP	Equip
UNEQUIP	Unequip
EQUIP_DESC	Some artifacts need to be equipped in order to provide their bonuses.
EQUIPPED	Equipped
NOT_EQUIPPED	Not Equipped
weapon	Weapon
ceremonial_weapon	Ceremonial Weapon
scepter	Scepter
crown	Crown
wrist	Wrist
neck	Neck
torso	Torso
CANT_EQUIP_NO_ROOM	§RCan't Equip: No more room in the $SLOT|Y$§R slot!§!
CANT_EQUIP_INACTIVE	§RCan't Equip: Artifact is Inactive§!
